SAMPLE NUMBER:   18
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  aR     	  RV     	  RV'		  DAO     	  DAO'		
  5.19   	-70.19   	 42.05   	  61.04		  0.45   	   0.00		
  4.27   	-72.02   	 42.30   	  66.12		  0.45   	   0.00		
  2.44   	-72.94   	 42.56   	  61.04		  0.45   	   0.00		
  0.61   	-73.55   	 42.81   	  66.12		  0.45   	   0.00		
 -0.31   	-75.07   	 43.07   	  55.95		  0.45   	   0.00		
  0.31   	-77.21   	 43.30   	  55.95		  0.45   	   5.09		
  3.36   	-80.57   	 43.52   	  55.95		  0.47   	   0.00		
  8.85   	-84.84   	 43.74   	  40.69		  0.47   	   0.00		
 16.48   	-89.42   	 43.91   	  40.69		  0.47   	   0.00		
 26.55   	-95.21   	 44.07   	  30.52		  0.47   	   0.00		
 36.62   	-102.23   	 44.19   	  20.35		  0.47   	   0.00		
 43.33   	-108.95   	 44.27   	  10.17		  0.47   	   0.00		
 44.56   	-113.22   	 44.31(S)	   0.00		  0.47   	   0.00		
 39.98   	-113.53   	 44.31   	 -10.17		  0.47   	  -5.09		
 31.43   	-109.25   	 44.27   	 -25.43		  0.45   	   0.00		
 21.36   	-101.01   	 44.17   	 -35.61		  0.45   	   0.00		
 10.68   	-89.42   	 44.03   	 -50.86		  0.45   	   0.00		
  0.92   	-76.60   	 43.82   	 -61.04		  0.45   	   0.00		
 -6.10   	-65.00   	 43.58   	 -76.30		  0.45   	   0.00		
 -8.54   	-56.15   	 43.28   	 -96.64		  0.45   	   0.00		
 -5.19   	-50.96   	 42.89   	-111.90		  0.45   	   0.00		
  0.61   	-47.30   	 42.44   	-122.07		  0.45   	   0.00		
  3.66   	-42.42   	 41.95   	-147.51		  0.45   	   0.00		
  1.53   	-34.48   	 41.36   	-162.77		  0.45   	   0.00		
 -5.49   	-24.41   	 40.71   	-183.11		  0.45   	   0.00		
-13.43   	-13.73   	 39.98   	-203.46		  0.45   	   0.00		
-18.62   	 -4.58   	 39.17   	-223.80		  0.45   	   0.00		
-20.75   	  3.66   	 38.27   	-239.06		  0.45   	   0.00		
-20.75   	 10.68   	 37.31   	-259.41		  0.45   	   0.00		
-19.23   	 16.48   	 36.28   	-269.58		  0.45   	   0.00		
-15.87   	 20.14   	 35.20   	-279.75		  0.45   	   0.00		
-11.29   	 19.84   	 34.08   	-295.01		  0.45   	   0.00		
 -6.71   	 17.40   	 32.90   	-300.10		  0.45   	   0.00		
 -3.97   	 14.95   	 31.70   	-305.19		  0.45   	   0.00		
 -3.66   	 15.56   	 30.48   	-305.19		  0.45   	   5.09		
 -5.49   	 19.23   	 29.26   	-315.36		  0.47(S)	   0.00		
 -7.02   	 23.50   	 28.00   	-310.27		  0.47   	  -5.09		
 -7.32   	 26.86   	 26.75   	-315.36		  0.45   	   0.00		
 -6.41   	 27.77   	 25.49   	-315.36		  0.45   	   0.00		
 -5.80   	 28.08   	 24.23   	-315.36		  0.45   	   0.00		
 -5.80   	 28.08   	 22.97   	-315.36		  0.45   	   0.00		
 -6.10   	 28.08   	 21.71   	-305.19		  0.45   	   0.00		
 -7.32   	 26.25   	 20.49   	-300.10		  0.45   	   0.00		
-11.29   	 21.06   	 19.29   	-284.84		  0.45   	   0.00		
-18.31   	 12.51   	 18.15   	-269.58		  0.45   	   0.00		
-26.86   	  0.31   	 17.07   	-254.32		  0.45   	   0.00		
-30.52   	-16.48   	 16.05   	-223.80		  0.45   	   0.00		
-21.97   	-39.06   	 15.16   	-198.37		  0.45   	   0.00		
  3.97   	-67.14   	 14.36   	-172.94		  0.45   	   0.00		
 44.25   	-97.05   	 13.67   	-142.42		  0.45   	   0.00		
 85.75   	-115.05   	 13.10   	-116.99		  0.45   	   0.00		
113.83   	-102.54   	 12.63   	-147.51		  0.45   	   0.00		
 89.42   	 63.78   	 12.04   	 -35.61		  0.45   	   0.00		
 37.54   	200.50   	 11.90   	 -20.35		  0.45   	   0.00		
-26.55   	329.59   	 11.82(D)	   5.09		  0.45   	   0.00		
-91.25   	416.26   	 11.84   	  15.26		  0.45   	   0.00		
-146.79   	443.73   	 11.90   	  30.52		  0.45   	   0.00		
-185.55   	419.31   	 12.02   	  40.69		  0.45   	   0.00		
-204.16(R)	367.43   	 12.19   	  50.86		  0.45   	   5.09		
-201.42   	311.58   	 12.39   	  50.86		  0.47   	   0.00		
-178.22   	261.23   	 12.59   	  61.04		  0.47   	  -5.09		
-139.47   	215.45   	 12.84   	  61.04		  0.45   	   0.00		
-95.52   	170.90   	 13.08   	  61.04		  0.45   	   0.00		
-56.15   	127.56   	 13.33   	  61.04		  0.45   	   0.00		
-27.77   	 88.50   	 13.57   	  61.04		  0.45   	   0.00		
-11.90   	 57.37   	 13.81   	  61.04		  0.45   	   0.00		
 -4.88   	 34.48   	 14.06   	  61.04		  0.45   	   0.00		
 -2.44   	 18.92   	 14.30   	  66.12		  0.45   	   0.00		
 -1.22   	  9.46   	 14.57   	  71.21		  0.45   	   0.00		
  0.00   	  4.27   	 14.85   	  81.38		  0.45   	   0.00		
  0.92   	  2.14   	 15.18   	  91.56		  0.45   	   0.00		
  1.22   	  0.92   	 15.54   	 101.73		  0.45   	   0.00		
  1.22   	  0.31   	 15.95   	 122.07		  0.45   	   0.00		
  0.61   	  0.61   	 16.44   	 147.51		  0.45   	   0.00		
  0.00   	  2.14   	 17.03   	 167.85		  0.45   	   0.00		
  0.31   	  3.97   	 17.70   	 198.37		  0.45   	   0.00		
  0.92   	  4.58   	 18.49   	 223.80		  0.45   	   0.00		
  0.61   	  3.97   	 19.39   	 244.15		  0.45   	   0.00		
 -0.31   	  2.44   	 20.37   	 269.58		  0.45   	   0.00		
 -2.44   	  2.75   	 21.44   	 279.75		  0.45   	   0.00		
 -3.97   	  3.36   	 22.56   	 295.01		  0.45   	   0.00		
 -4.27   	  4.88   	 23.74   	 295.01		  0.45   	   0.00		
 -3.05   	  5.49   	 24.92   	 289.93		  0.45   	   0.00		
 -2.44   	  5.80   	 26.08   	 279.75		  0.45   	   0.00		
 -2.75   	  5.80   	 27.20   	 259.41		  0.45   	   0.00		
 -3.97   	  5.19   	 28.24   	 244.15		  0.45   	   0.00		
 -6.10   	  5.49   	 29.22   	 208.54		  0.45   	   0.00		
 -7.93   	  5.80   	 30.05   	 188.20		  0.45   	   0.00		
 -9.77   	  7.32   	 30.80   	 157.68		  0.45   	   0.00		
-11.90   	  9.16   	 31.43   	 127.16		  0.45   	   0.00		
-13.73   	 10.68   	 31.94   	 106.82		  0.45   	   0.00		
-14.65   	 10.99   	 32.37   	  81.38		  0.45   	   0.00		
-14.95   	  9.16   	 32.70   	  66.12		  0.45   	   0.00		
-15.87   	  7.63   	 32.96   	  50.86		  0.45   	   0.00		
-18.62   	  7.02   	 33.16   	  35.61		  0.45   	   0.00		
-23.19   	  8.54   	 33.31   	  30.52		  0.45   	   0.00		
-28.38   	 10.38   	 33.43   	  25.43		  0.45   	   0.00		
-32.96   	 12.51   	 33.53   	  25.43		  0.45   	   0.00		
-35.10   	 12.21   	 33.63   	  25.43		  0.45   	   0.00		
-36.01   	 11.29   	 33.73   	  25.43		  0.45   	   0.00		
-36.93   	  9.46   	 33.84   	  30.52		  0.45   	   0.00		
-38.45   	  8.24   	 33.96   	  30.52		  0.45   	   0.00		
-39.06   	  5.80   	 34.08   	  35.61		  0.45   	   0.00		
-38.15   	  2.14   	 34.22   	  35.61		  0.45   	   0.00		
-35.40   	 -1.22   	 34.36   	  40.69		  0.45   	   0.00		
-31.74   	 -3.05   	 34.53   	  35.61		  0.45   	   0.00		
-27.47   	 -2.44   	 34.67   	  35.61		  0.45   	   0.00		
-21.36   	 -0.31   	 34.81   	  35.61		  0.45   	   0.00		
-11.29   	  0.31   	 34.95   	  30.52		  0.45   	   0.00		
  3.97   	 -2.14   	 35.08   	  20.35		  0.45   	   0.00		
 21.97   	 -8.24   	 35.16   	  20.35		  0.45   	   0.00		
 37.84   	-13.73   	 35.24   	  10.17		  0.45   	   0.00		
 46.69   	-16.17   	 35.28(S)	   0.00		  0.45   	   0.00		
 47.91   	-16.48   	 35.28   	 -10.17		  0.45   	   0.00		
 43.03   	-16.17   	 35.24   	 -15.26		  0.45   	   0.00		
 35.40   	-16.17   	 35.18   	 -30.52		  0.45   	   0.00		
 28.08   	-16.78   	 35.06   	 -35.61		  0.45   	   0.00		
 22.28   	-17.09   	 34.91   	 -50.86		  0.45   	   0.00		
 18.62   	-16.48   	 34.71   	 -61.04		  0.45   	   0.00		
 15.87   	-14.34   	 34.47   	 -71.21		  0.45   	   0.00		
 11.60   	 -9.16   	 34.18   	 -81.38		  0.45   	   5.09		
  1.83   	  1.22   	 33.86   	-101.73		  0.47(S)	  -5.09		
-14.34   	 17.70   	 33.45   	-111.90		  0.45   	   0.00		
-34.79   	 38.76   	 33.00   	-122.07		  0.45   	   0.00		
-54.32   	 59.20   	 32.51   	-142.42		  0.45   	   0.00		
-67.75   	 74.16   	 31.94   	-152.59		  0.45   	   5.09		
-71.72   	 81.48   	 31.33   	-167.85		  0.47   	   0.00		
-68.66   	 83.92   	 30.66   	-188.20		  0.47   	   0.00		
-62.56   	 84.84   	 29.91   	-203.46		  0.47   	  -5.09		
-57.98   	 87.89   	 29.09   	-213.63		  0.45   	   0.00		
-55.85   	 91.25   	 28.24   	-239.06		  0.45   	   0.00		
-55.24   	 92.16   	 27.28   	-249.24		  0.45   	   0.00		
-53.71   	 89.42   	 26.29   	-269.58		  0.45   	   0.00		
-51.27   	 83.92   	 25.21   	-279.75		  0.45   	   0.00		
-48.83   	 79.65   	 24.09   	-300.10		  0.45   	   0.00		
-47.61   	 79.96   	 22.89   	-305.19		  0.45   	   0.00		
-48.52   	 84.53   	 21.67   	-310.27		  0.45   	   0.00		
-50.35   	 90.03   	 20.43   	-310.27		  0.45   	   0.00		
-51.88   	 93.08   	 19.19   	-310.27		  0.45   	   0.00		
-52.49   	 92.77   	 17.94   	-300.10		  0.45   	   0.00		
-52.80   	 90.64   	 16.74   	-284.84		  0.45   	   0.00		
-53.10   	 89.11   	 15.61   	-269.58		  0.45   	   0.00		
-54.32   	 88.50   	 14.53   	-249.24		  0.45   	   0.00		
-57.07   	 85.75   	 13.53   	-213.63		  0.45   	   0.00		
-61.95   	 78.74   	 12.68   	-188.20		  0.45   	   0.00		
-67.44   	 65.31   	 11.92   	-157.68		  0.45   	   0.00		
-69.27   	 45.78   	 11.29   	-116.99		  0.45   	   0.00		
-61.34   	 21.06   	 10.82   	 -86.47		  0.45   	   0.00		
-39.37   	 -6.71   	 10.48   	 -55.95		  0.45   	   0.00		
 -3.66   	-33.26   	 10.25   	 -20.35		  0.45   	  -5.09		
 38.15   	-49.74   	 10.17(D)	   5.09		  0.43(D)	   0.00		
 73.24   	-42.11   	 10.19   	  81.38		  0.43   	   0.00		
 76.60   	 94.91   	 10.52   	  71.21		  0.43   	   5.09		
 36.32   	217.29   	 10.80   	  81.38		  0.45   	   0.00		
-23.80   	342.41   	 11.13   	  91.56		  0.45   	   0.00		
-90.33   	435.18   	 11.50   	 101.73		  0.45   	   0.00		
-150.15   	473.94   	 11.90   	 101.73		  0.45   	   0.00		
-194.70   	459.90   	 12.31   	 101.73		  0.45   	   0.00		
-220.64   	413.82   	 12.72   	  96.64		  0.45   	   0.00		
-227.97(R)	359.80   	 13.10   	  96.64		  0.45   	   0.00		
-216.98   	310.67   	 13.49   	  86.47		  0.45   	   0.00		
-189.51   	266.72   	 13.84   	  86.47		  0.45   	   0.00		
-150.76   	222.47   	 14.18   	  76.30		  0.45   	   0.00		
-109.25   	176.09   	 14.49   	  66.12		  0.45   	   0.00		
-74.16   	131.53   	 14.75   	  66.12		  0.45   	   0.00		
-50.66   	 93.99   	 15.02   	  66.12		  0.45   	   0.00		
-38.15   	 65.00   	 15.28   	  61.04		  0.45   	   0.00		
-33.57   	 45.17   	 15.52   	  61.04		  0.45   	   0.00		
-33.26   	 34.18   	 15.77   	  71.21		  0.45   	   0.00		
-34.79   	 31.43   	 16.05   	  76.30		  0.45   	   0.00		
-35.71   	 33.87   	 16.36   	  86.47		  0.45   	   0.00		
-34.79   	 37.54   	 16.70   	 106.82		  0.45   	   0.00		
-32.65   	 37.84   	 17.13   	 127.16		  0.45   	   0.00		
-30.21   	 34.48   	 17.64   	 147.51		  0.45   	   0.00		
-29.30   	 30.21   	 18.23   	 167.85		  0.45   	   0.00		
-30.52   	 27.77   	 18.90   	 183.11		  0.45   	   0.00		
-31.43   	 27.77   	 19.63   	 198.37		  0.45   	   0.00		
-31.43   	 30.21   	 20.43   	 203.46		  0.45   	   0.00		
-30.52   	 33.57   	 21.24   	 218.72		  0.45   	   0.00		
-30.21   	 35.40   	 22.12   	 218.72		  0.45   	   0.00		
-30.82   	 35.40   	 22.99   	 218.72		  0.45   	   0.00		
-31.74   	 33.57   	 23.87   	 218.72		  0.45   	   0.00		
-32.35   	 31.13   	 24.74   	 208.54		  0.45   	   0.00		
-32.35   	 30.21   	 25.57   	 203.46		  0.45   	   0.00		
-31.74   	 31.43   	 26.39   	 193.29		  0.45   	  -5.09		
-30.82   	 34.79   	 27.16   	 183.11		  0.43(D)	   0.00		
-30.21   	 39.67   	 27.89   	 167.85		  0.43   	   0.00		
-29.91   	 44.56   	 28.57   	 157.68		  0.43   	   0.00		
-30.21   	 47.61   	 29.20   	 147.51		  0.43   	   0.00		
-31.13   	 48.83   	 29.79   	 127.16		  0.43   	   0.00		
-32.35   	 47.61   	 30.29   	 116.99		  0.43   	   0.00		
-32.96   	 44.56   	 30.76   	 106.82		  0.43   	   0.00		
-32.96   	 40.89   	 31.19   	  96.64		  0.43   	   0.00		
-32.35   	 37.54   	 31.58   	  81.38		  0.43   	   5.09		
-32.04   	 35.40   	 31.90   	  76.30		  0.45   	   0.00		
-32.35   	 34.48   	 32.21   	  66.12		  0.45   	   0.00		
-33.26   	 34.18   	 32.47   	  66.12		  0.45   	   0.00		
-34.79   	 34.18   	 32.74   	  55.95		  0.45   	   0.00		
-36.62   	 33.26   	 32.96   	  50.86		  0.45   	   0.00		
-39.06   	 31.13   	 33.16   	  55.95		  0.45   	   0.00		
-41.50   	 28.08   	 33.39   	  45.78		  0.45   	   0.00		
-44.25   	 24.72   	 33.57   	  50.86		  0.45   	   0.00		
-47.00   	 21.97   	 33.77   	  45.78		  0.45   	   0.00		
-49.44   	 19.53   	 33.96   	  45.78		  0.45   	   5.09		
-50.96   	 17.40   	 34.14   	  40.69		  0.47(S)	   0.00		
-51.57   	 15.56   	 34.30   	  45.78		  0.47   	   0.00		
-49.74   	 13.43   	 34.49   	  40.69		  0.47   	   0.00		
-44.25   	  9.77   	 34.65   	  40.69		  0.47   	  -5.09		
-33.57   	  4.27   	 34.81   	  40.69		  0.45   	   0.00		
-20.45   	 -2.75   	 34.97   	  35.61		  0.45   	   0.00		
 -8.24   	 -9.77   	 35.12   	  30.52		  0.45   	   0.00		
 -1.83   	-14.34   	 35.24   	  25.43		  0.45   	   0.00		
 -2.44   	-15.87   	 35.34   	  20.35		  0.45   	   0.00		
 -8.54   	-15.26   	 35.42   	  15.26		  0.45   	   0.00		
-16.17   	-13.12   	 35.48   	   5.09		  0.45   	   0.00		
-23.50   	 -8.54   	 35.50(S)	   0.00		  0.45   	   0.00		
-30.52   	 -1.22   	 35.50   	 -15.26		  0.45   	   0.00		
-37.23   	  7.93   	 35.44   	 -20.35		  0.45   	   0.00		
-41.81   	 16.48   	 35.36   	 -35.61		  0.45   	   0.00		
-42.11   	 23.19   	 35.22   	 -45.78		  0.45   	   0.00		
-36.62   	 26.25   	 35.04   	 -61.04		  0.45   	   0.00		
-29.91   	 28.38   	 34.79   	 -76.30		  0.45   	   0.00		
-26.86   	 31.74   	 34.49   	 -86.47		  0.45   	   0.00		
-30.21   	 37.84   	 34.14   	-101.73		  0.45   	   0.00		
-38.76   	 46.39   	 33.73   	-111.90		  0.45   	   0.00		
-46.69   	 54.63   	 33.29   	-132.25		  0.45   	   0.00		
-50.35   	 61.04   	 32.76   	-142.42		  0.45   	   5.09		
-48.83   	 65.31   	 32.19   	-157.68		  0.47   	   0.00		
-43.95   	 66.53   	 31.56   	-167.85		  0.47   	   0.00		
-39.37   	 66.53   	 30.88   	-183.11		  0.47   	  -5.09		
-36.01   	 65.61   	 30.15   	-198.37		  0.45   	   0.00		
-33.26   	 62.87   	 29.36   	-203.46		  0.45   	   0.00		
-30.21   	 58.90   	 28.55   	-213.63		  0.45   	   0.00		
-27.16   	 54.32   	 27.69   	-223.80		  0.45   	   0.00		
-24.72   	 50.05   	 26.80   	-233.98		  0.45   	   0.00		
-23.50   	 47.30   	 25.86   	-233.98		  0.45   	   0.00		
-23.80   	 46.69   	 24.92   	-244.15		  0.45   	   0.00		
-23.50   	 45.47   	 23.95   	-244.15		  0.45   	   0.00		
-21.67   	 43.33   	 22.97   	-249.24		  0.45   	   0.00		
-18.92   	 40.59   	 21.97   	-244.15		  0.45   	   0.00		
-15.87   	 37.23   	 21.00   	-249.24		  0.45   	  -5.09		
-14.34   	 34.48   	 20.00   	-244.15		  0.43(D)	   0.00		
-15.26   	 31.74   	 19.02   	-233.98		  0.43   	   0.00		
-18.31   	 25.33   	 18.09   	-228.89		  0.43   	   0.00		
-22.58   	 13.12   	 17.17   	-218.72		  0.43   	   0.00		
-25.94   	 -5.19   	 16.30   	-198.37		  0.43   	   0.00		
-23.19   	-28.99   	 15.50   	-183.11		  0.43   	   0.00		
-10.99   	-55.85   	 14.77   	-157.68		  0.43   	   0.00		
 14.04   	-83.31   	 14.14   	-137.33		  0.43   	   0.00		
 50.05   	-108.34   	 13.59   	-111.90		  0.43   	   0.00		
 88.20   	-121.15   	 13.14   	 -81.38		  0.43   	   5.09		
117.80   	-108.03   	 12.82   	 -91.56		  0.45   	   0.00		
108.34   	 46.39   	 12.45   	 -10.17		  0.45   	   0.00		
 63.17   	175.78   	 12.41(D)	  15.26		  0.45   	   0.00		
  2.14   	299.99   	 12.47   	  35.61		  0.45   	   5.09		
-61.34   	383.00   	 12.61   	  55.95		  0.47(S)	   0.00		
-114.75   	407.10   	 12.84   	  71.21		  0.47   	   0.00		
-150.45   	379.33   	 13.12   	  81.38		  0.47   	   0.00		
-165.41(R)	324.71   	 13.45   	  86.47		  0.47   	   0.00		
-161.13   	266.72   	 13.79   	  96.64		  0.47   	   0.00		
-138.85   	214.84   	 14.18   	 101.73		  0.47   	   0.00		
-102.84   	167.54   	 14.59   	  96.64		  0.47   	   0.00		
-60.42   	120.54   	 14.97   	 101.73		  0.47   	  -5.09		
-20.75   	 74.46   	 15.38   	  96.64		  0.45   	   0.00		
  9.77   	 33.57   	 15.77   	  96.64		  0.45   	   0.00		
 27.77   	  2.44   	 16.15   	  96.64		  0.45   	   0.00		
 35.40   	-19.23   	 16.54   	 101.73		  0.45   	   0.00		
 36.93   	-33.87   	 16.95   	  96.64		  0.45   	   0.00		
 36.01   	-42.72   	 17.33   	 106.82		  0.45   	   0.00		
 35.40   	-46.39   	 17.76   	 111.90		  0.45   	   0.00		
 36.32   	-46.39   	 18.21   	 127.16		  0.45   	   0.00		
 38.76   	-45.47   	 18.72   	 142.42		  0.45   	   0.00		
 41.50   	-46.08   	 19.29   	 157.68		  0.45   	   0.00		
 43.33   	-47.91   	 19.92   	 183.11		  0.45   	   0.00		
 44.25   	-50.66   	 20.65   	 208.54		  0.45   	   0.00		
 44.86   	-52.80   	 21.49   	 233.98		  0.45   	   0.00		
 46.69   	-54.93   	 22.42   	 259.41		  0.45   	   0.00		
 50.05   	-57.37   	 23.46   	 279.75		  0.45   	   0.00		
 54.02   	-60.12   	 24.58   	 300.10		  0.45   	   0.00		
 57.98   	-62.56   	 25.78   	 310.27		  0.45   	   0.00		
 60.73   	-62.87   	 27.02   	 315.36		  0.45   	   0.00		
 63.17   	-61.95   	 28.28   	 320.45		  0.45   	   0.00		
 66.22   	-60.73   	 29.56   	 310.27		  0.45   	   0.00		
 70.50   	-60.42   	 30.80   	 300.10		  0.45   	   0.00		
 75.68   	-61.34   	 32.00   	 284.84		  0.45   	   0.00		
 81.48   	-61.65   	 33.14   	 264.50		  0.45   	   0.00		
 86.67   	-60.73   	 34.20   	 244.15		  0.45   	  -5.09		
 91.25   	-59.20   	 35.18   	 213.63		  0.43(D)	   0.00		
 95.52   	-60.73   	 36.03   	 193.29		  0.43   	   0.00		
 99.79   	-68.05   	 36.81   	 162.77		  0.43   	   0.00		
104.06   	-81.18   	 37.46   	 147.51		  0.43   	   0.00		
107.42   	-97.35   	 38.05   	 122.07		  0.43   	   0.00		
107.73   	-111.39   	 38.53   	 106.82		  0.43   	   0.00		
102.84   	-118.41   	 38.96   	  91.56		  0.43   	   0.00		
 91.55   	-116.88   	 39.33   	  81.38		  0.43   	   0.00		
 75.07   	-108.03   	 39.65   	  71.21		  0.43   	   0.00		
 56.46   	-95.52   	 39.94   	  66.12		  0.43   	   5.09		
 39.37   	-84.23   	 40.20   	  66.12		  0.45   	   0.00		
 26.86   	-76.90   	 40.47   	  61.04		  0.45   	   0.00		
 20.45   	-73.85   	 40.71   	  61.04		  0.45   	   0.00		
 18.62   	-74.77   	 40.96   	  55.95		  0.45   	   0.00		
 19.84   	-78.74   	 41.18   	  61.04		  0.45   	   0.00		
 20.75   	-83.31   	 41.42   	  55.95		  0.45   	   0.00		
 20.75   	-87.28   	 41.65   	  55.95		  0.45   	   0.00		
 20.14   	-90.64   	 41.87   	  55.95		  0.45   	   0.00		
 20.14   	-93.99   	 42.10   	  55.95		  0.45   	   0.00		
 22.28   	-97.05   	 42.32   	  50.86		  0.45   	   0.00		
 27.47   	-101.32   	 42.52   	  45.78		  0.45   	   0.00		
 36.62   	-106.51   	 42.71   	  40.69		  0.45   	   0.00		
 47.61   	-112.61   	 42.87   	  35.61		  0.45   	   0.00		
 57.68   	-118.71   	 43.01   	  30.52		  0.45   	   0.00		
 62.87   	-123.60   	 43.13   	  25.43		  0.45   	   0.00		
 61.65   	-126.04   	 43.23   	  15.26		  0.45   	   0.00		
 54.93   	-126.34   	 43.30   	  10.17		  0.45   	   0.00		
 45.47   	-123.90   	 43.34(S)	   0.00		  0.45   	   0.00		
 36.01   	-119.63   	 43.34   	 -10.17		  0.45   	   0.00		
 26.25   	-112.00   	 43.30   	 -20.35		  0.45   	   0.00		
 17.09   	-102.84   	 43.21   	 -30.52		  0.45   	   0.00		
 10.07   	-93.38   	 43.09   	 -40.69		  0.45   	   0.00		
  7.63   	-86.67   	 42.93   	 -55.95		  0.45   	   0.00		
 10.99   	-84.23   	 42.71   	 -66.12		  0.45   	   0.00		
 17.09   	-83.92   	 42.44   	 -81.38		  0.45   	   0.00		
 19.84   	-82.70   	 42.12   	 -96.64		  0.45   	  -5.09		
 15.87   	-78.43   	 41.73   	-116.99		  0.43(D)	   0.00		
  6.71   	-70.80   	 41.26   	-127.16		  0.43   	   0.00		
 -2.75   	-61.65   	 40.75   	-152.59		  0.43   	   0.00		
 -7.32   	-53.10   	 40.14   	-167.85		  0.43   	   0.00		
 -6.41   	-47.61   	 39.47   	-188.20		  0.43   	   0.00		
 -2.44   	-43.64   	 38.72   	-203.46		  0.43   	   0.00		
  0.61   	-41.20   	 37.90   	-228.89		  0.43   	   0.00		
  2.14   	-39.37   	 36.99   	-239.06		  0.43   	   5.09		
  3.97   	-39.37   	 36.03   	-259.41		  0.45   	   0.00		
  6.71   	-41.20   	 34.99   	-269.58		  0.45   	   0.00		
 10.68   	-43.03   	 33.92   	-279.75		  0.45   	   0.00		
 13.43   	-43.64   	 32.80   	-284.84		  0.45   	   0.00		
 14.04   	-41.50   	 31.66   	-295.01		  0.45   	   0.00		
 13.12   	-36.93   	 30.48   	-295.01		  0.45   	   0.00		
 12.51   	-33.26   	 29.30   	-295.01		  0.45   	   0.00		
 13.12   	-31.43   	 28.12   	-295.01		  0.45   	   0.00		
 14.65   	-31.74   	 26.94   	-284.84		  0.45   	   0.00		
 16.48   	-32.96   	 25.80   	-279.75		  0.45   	   0.00		
 17.40   	-33.87   	 24.68   	-269.58		  0.45   	   0.00		
 15.56   	-34.18   	 23.60   	-254.32		  0.45   	   0.00		
 10.99   	-36.32   	 22.58   	-239.06		  0.45   	   0.00		
  4.27   	-42.42   	 21.63   	-228.89		  0.45   	  -5.09		
 -1.22   	-56.15   	 20.71   	-218.72		  0.43   	   0.00		
 -0.31   	-78.43   	 19.84   	-198.37		  0.43   	   0.00		
 11.29   	-106.81   	 19.04   	-188.20		  0.43   	   0.00		
 36.01   	-139.16   	 18.29   	-172.94		  0.43   	   0.00		
 71.11   	-169.68   	 17.60   	-152.59		  0.43   	   0.00		
107.73   	-189.82   	 16.99   	-142.42		  0.43   	   0.00		
135.19   	-184.63   	 16.42   	-218.72		  0.43   	   5.09		
127.26   	-44.86   	 15.54   	 -81.38		  0.45   	   0.00		
 85.75   	 88.20   	 15.22   	 -55.95		  0.45   	   0.00		
 28.08   	227.97   	 14.99   	 -40.69		  0.45   	   0.00		
-33.87   	333.86   	 14.83   	 -20.35		  0.45   	   0.00		
-89.42   	379.33   	 14.75(D)	   0.00		  0.45   	   0.00		
-130.31   	363.77   	 14.75(E)	  15.26		  0.45   	   0.00		
-152.89   	311.28   	 14.81   	  30.52		  0.45   	   0.00		
-155.64(R)	249.94   	 14.93   	  45.78		  0.45   	   0.00		
-138.55   	195.62   	 15.12   	  55.95		  0.45   	   0.00		
-103.45   	147.71   	 15.34   	  66.12		  0.45   	   0.00		
-57.37   	100.10   	 15.61   	  71.21		  0.45   	   0.00		
-11.29   	 51.27   	 15.89   	  76.30		  0.45   	   0.00		
 25.02   	  6.71   	 16.20   	  76.30		  0.45   	   0.00		
 46.69   	-27.16   	 16.50   	  76.30		  0.45   	   0.00		
 54.93   	-49.44   	 16.81   	  76.30		  0.45   	   0.00		
 55.54   	-62.26   	 17.11   	  81.38		  0.45   	   0.00		
 53.10   	-68.97   	 17.44   	  81.38		  0.45   	   0.00		
 51.88   	-72.33   	 17.76   	  86.47		  0.45   	  -5.09		
 52.19   	-72.63   	 18.11   	  96.64		  0.43(D)	   0.00		
 54.32   	-72.63   	 18.49   	 106.82		  0.43   	   5.09		
 56.46   	-72.94   	 18.92   	 132.25		  0.45   	   0.00		
 57.37   	-74.16   	 19.45   	 152.59		  0.45   	   0.00		
 56.76   	-75.07   	 20.06   	 178.03		  0.45   	   0.00		
 55.24   	-74.77   	 20.77   	 213.63		  0.45   	   0.00		
 54.02   	-73.85   	 21.63   	 244.15		  0.45   	   0.00		
 54.32   	-73.85   	 22.60   	 279.75		  0.45   	   0.00		
 56.15   	-74.77   	 23.72   	 310.27		  0.45   	   0.00		
 57.98   	-76.29   	 24.96   	 340.79		  0.45   	   0.00		
 58.59   	-77.51   	 26.33   	 361.14		  0.45   	   0.00		
 58.29   	-78.13   	 27.77   	 371.31		  0.45   	   0.00		
 57.07   	-77.82   	 29.26   	 381.48		  0.45   	   0.00		
 55.24   	-76.90   	 30.78   	 371.31		  0.45   	   0.00		
 53.10   	-75.99   	 32.27   	 361.14		  0.45   	  -5.09		
 51.57   	-75.38   	 33.71   	 330.62		  0.43   	   0.00		
 50.35   	-75.38   	 35.04   	 305.19		  0.43   	   0.00		
 49.44   	-75.68   	 36.26   	 269.58		  0.43   	   0.00		
 49.13   	-76.29   	 37.33   	 233.98		  0.43   	   0.00		
 48.83   	-76.90   	 38.27   	 193.29		  0.43   	   0.00		
 47.91   	-77.21   	 39.04   	 157.68		  0.43   	   0.00		
 47.00   	-77.82   	 39.67   	 127.16		  0.43   	   0.00		
