SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  LFA     	  LFA'		  RV     	  RV'		
  9.16   	-58.59   	 24.90   	 -25.43		 22.01   	 183.11		
 11.29   	-54.93   	 24.80   	 -20.35		 22.75   	 178.03		
 12.51   	-51.57   	 24.72   	 -20.35		 23.46   	 167.85		
 12.82   	-48.83   	 24.64   	 -20.35		 24.13   	 172.94		
 11.60   	-47.61   	 24.56   	 -15.26		 24.82   	 183.11		
 10.07   	-46.69   	 24.50   	 -10.17		 25.55   	 193.29		
  8.54   	-45.78   	 24.46   	  -5.09		 26.33   	 218.72		
  7.63   	-43.95   	 24.44   	  -5.09		 27.20   	 264.50		
  7.63   	-41.50   	 24.41(D)	   5.09		 28.26   	 284.84		
  7.32   	-39.06   	 24.44   	  10.17		 29.40   	 218.72		
  6.71   	-36.62   	 24.48   	  25.43		 30.27   	 162.77		
  5.19   	-35.10   	 24.58   	  40.69		 30.93   	 152.59		
  3.66   	-33.87   	 24.74   	  55.95		 31.54   	 116.99		
  2.14   	-32.96   	 24.96   	  76.30		 32.00   	 101.73		
  1.22   	-32.04   	 25.27   	  96.64		 32.41   	  91.56		
  0.61   	-30.82   	 25.66   	 116.99		 32.78   	  76.30		
  0.61   	-28.69   	 26.12   	 142.42		 33.08   	  76.30		
  0.92   	-26.55   	 26.69   	 157.68		 33.39   	  76.30		
  1.22   	-24.72   	 27.32   	 183.11		 33.69   	  71.21		
  1.53   	-23.19   	 28.06   	 198.37		 33.98   	  61.04		
  1.53   	-22.28   	 28.85   	 213.63		 34.22   	  66.12		
  0.61   	-21.06   	 29.70   	 228.89		 34.49   	  66.12		
 -0.61   	-19.23   	 30.62   	 239.06		 34.75   	  66.12		
 -1.22   	-16.78   	 31.58   	 289.93		 35.02   	 122.07		
 -1.83   	-12.21   	 32.74   	 295.01		 35.50   	  55.95		
 -2.14   	-11.60   	 33.92   	 289.93		 35.73   	  71.21		
 -3.05   	-11.60   	 35.08   	 295.01		 36.01   	  66.12		
 -3.97   	-11.29   	 36.26   	 289.93		 36.28   	  61.04		
 -4.27   	 -9.77   	 37.42   	 279.75		 36.52   	  66.12		
 -3.97   	 -6.71   	 38.53   	 279.75		 36.79   	  61.04		
 -3.97   	 -3.05   	 39.65   	 269.58		 37.03   	  55.95		
 -4.58   	  0.31   	 40.73   	 254.32		 37.25   	  50.86		
 -6.71   	  2.14   	 41.75   	 249.24		 37.46   	  50.86		
-10.38   	  2.75   	 42.75   	 233.98		 37.66   	  45.78		
-14.65   	  3.36   	 43.68   	 218.72		 37.84   	  30.52		
-18.01   	  4.58   	 44.56   	 208.54		 37.97   	  30.52		
-20.45   	  6.41   	 45.39   	 188.20		 38.09   	  25.43		
-21.36   	  9.46   	 46.14   	 172.94		 38.19   	  25.43		
-21.67   	 14.04   	 46.84   	 157.68		 38.29   	  20.35		
-21.36   	 19.53   	 47.47   	 137.33		 38.37   	  15.26		
-21.06   	 25.94   	 48.02   	 122.07		 38.43   	  10.17		
-20.75   	 32.35   	 48.50   	 106.82		 38.47   	   5.09		
-20.75   	 38.76   	 48.93   	  81.38		 38.49   	   5.09		
-21.06   	 45.47   	 49.26   	  66.12		 38.51(S)	  -5.09		
-20.75   	 54.02   	 49.52   	  55.95		 38.49   	 -10.17		
-19.53   	 64.39   	 49.75   	  35.61		 38.45   	 -20.35		
-16.17   	 75.99   	 49.89   	  20.35		 38.37   	 -25.43		
-10.07   	 88.20   	 49.97   	  10.17		 38.27   	 -30.52		
 -1.53   	 99.18   	 50.01(S)	 -10.17		 38.15   	 -86.47		
 18.62   	109.25   	 49.97   	 -20.35		 37.80   	 -45.78		
 27.47   	105.90   	 49.89   	 -25.43		 37.62   	 -61.04		
 33.57   	 96.74   	 49.79   	 -35.61		 37.38   	 -76.30		
 36.93   	 83.92   	 49.64   	 -40.69		 37.07   	 -76.30		
 37.23   	 68.36   	 49.48   	 -45.78		 36.76   	 -96.64		
 35.71   	 52.19   	 49.30   	 -55.95		 36.38   	-116.99		
 33.87   	 36.32   	 49.07   	 -55.95		 35.91   	-127.16		
 32.35   	 21.67   	 48.85   	 -61.04		 35.40   	-157.68		
 31.74   	  9.77   	 48.61   	 -71.21		 34.77   	-183.11		
 31.43   	  0.92   	 48.32   	 -76.30		 34.04   	-203.46		
 30.82   	 -5.19   	 48.02   	 -76.30		 33.22   	-233.98		
 29.60   	-10.38   	 47.71   	 -86.47		 32.29   	-249.24		
 27.47   	-14.95   	 47.37   	 -86.47		 31.29   	-249.24		
 25.63   	-19.53   	 47.02   	-101.73		 30.29   	-284.84		
 24.11   	-23.80   	 46.61   	-106.82		 29.16   	-310.27		
 23.19   	-27.16   	 46.18   	-111.90		 27.91   	-310.27		
 22.89   	-28.99   	 45.74   	-127.16		 26.67   	-315.36		
 22.58   	-29.60   	 45.23   	-132.25		 25.41   	-345.88		
 22.28   	-29.30   	 44.70   	-142.42		 24.03   	-371.31		
 22.28   	-28.38   	 44.13   	-157.68		 22.54   	-381.48		
 22.28   	-27.47   	 43.50   	-172.94		 21.02   	-361.14		
 22.28   	-27.16   	 42.81   	-178.03		 19.57   	-345.88		
 22.58   	-27.77   	 42.10   	-188.20		 18.19   	-345.88		
 22.28   	-28.99   	 41.34   	-193.29		 16.81   	-335.71		
 22.28   	-30.21   	 40.57   	-188.20		 15.46   	-315.36		
 22.58   	-30.82   	 39.82   	-183.11		 14.20   	-295.01		
 23.19   	-29.91   	 39.08   	-172.94		 13.02   	-269.58		
 23.50   	-28.69   	 38.39   	-157.68		 11.94   	-249.24		
 23.19   	-27.77   	 37.76   	-147.51		 10.95   	-218.72		
 22.28   	-28.08   	 37.17   	-122.07		 10.07   	-188.20		
 21.67   	-29.60   	 36.68   	-116.99		  9.32   	-162.77		
 21.36   	-31.13   	 36.22   	-101.73		  8.67   	-132.25		
 22.28   	-32.04   	 35.81   	 -91.56		  8.14   	-111.90		
 23.50   	-31.74   	 35.44   	 -86.47		  7.69   	 -81.38		
 24.72   	-30.82   	 35.10   	 -76.30		  7.37   	 -61.04		
 24.72   	-30.21   	 34.79   	 -76.30		  7.12   	 -45.78		
 23.80   	-29.91   	 34.49   	 -71.21		  6.94   	 -25.43		
 22.58   	-29.60   	 34.20   	 -66.12		  6.84   	 -10.17		
 21.36   	-29.91   	 33.94   	 -71.21		  6.80   	   5.09		
 20.45   	-29.91   	 33.65   	 -66.12		  6.82   	   5.09		
 20.14   	-30.21   	 33.39   	 -66.12		  6.84   	   5.09		
 20.14   	-30.21   	 33.12   	 -66.12		  6.86   	   5.09		
 20.14   	-30.52   	 32.86   	 -61.04		  6.88   	  -5.09		
 20.14   	-30.82   	 32.61   	 -61.04		  6.86   	 -10.17		
 20.14   	-31.13   	 32.37   	 -61.04		  6.82   	 -15.26		
 20.75   	-31.43   	 32.13   	 -61.04		  6.75   	 -10.17		
 20.75   	-31.74   	 31.88   	 -55.95		  6.71(D)	   5.09		
 19.84   	-32.04   	 31.66   	 -55.95		  6.73   	  20.35		
 17.70   	-32.35   	 31.43   	 -50.86		  6.82   	  35.61		
 14.95   	-33.26   	 31.23   	 -45.78		  6.96   	  50.86		
 13.12   	-33.87   	 31.05   	 -45.78		  7.16   	  66.12		
 12.82   	-33.87   	 30.86   	 -40.69		  7.43   	  71.21		
 13.12   	-32.96   	 30.70   	 -35.61		  7.71   	  76.30		
 13.73   	-31.43   	 30.56   	 -40.69		  8.02   	  66.12		
 14.04   	-29.60   	 30.40   	 -35.61		  8.28   	  61.04		
 14.65   	-28.38   	 30.25   	 -30.52		  8.52   	  50.86		
 15.87   	-28.38   	 30.13   	 -30.52		  8.73   	  45.78		
 16.78   	-28.99   	 30.01   	 -30.52		  8.91   	  35.61		
 16.78   	-29.91   	 29.89   	 -30.52		  9.05   	  35.61		
 16.48   	-29.91   	 29.77   	 -30.52		  9.20   	  30.52		
 16.78   	-26.86   	 29.64   	 -25.43		  9.32   	  25.43		
 21.36   	-19.84   	 29.54   	 -30.52		  9.42   	  25.43		
 32.35   	 -8.24   	 29.42   	 -25.43		  9.52   	  20.35		
 49.13   	  6.41   	 29.32   	 -25.43		  9.60   	  15.26		
 68.66   	 24.11   	 29.22   	 -25.43		  9.66   	  10.17		
 86.67   	 45.17   	 29.11   	 -25.43		  9.70   	   5.09		
 99.79   	 69.89   	 29.01   	 -30.52		  9.73   	   0.00		
108.03   	 95.52   	 28.89   	 -25.43		  9.73   	   0.00		
112.61   	115.36   	 28.79   	 -30.52		  9.73   	 -10.17		
114.75   	120.54   	 28.67   	 -25.43		  9.68   	  -5.09		
112.61   	106.81   	 28.57   	 -25.43		  9.66   	 -10.17		
103.45   	 75.07   	 28.46   	 -25.43		  9.62   	 -10.17		
 85.45   	 32.96   	 28.36   	 -25.43		  9.58   	  -5.09		
 59.51   	-10.07   	 28.26   	 -20.35		  9.56   	 -10.17		
 30.52   	-46.39   	 28.18   	 -25.43		  9.52   	 -10.17		
  4.27   	-71.11   	 28.08   	 -25.43		  9.48   	  -5.09		
-13.43   	-83.31   	 27.98   	 -25.43		  9.46   	  -5.09		
-20.75   	-84.84   	 27.87   	 -20.35		  9.44   	 -10.17		
-19.53   	-80.87   	 27.79   	 -25.43		  9.40   	  -5.09		
-14.95   	-75.99   	 27.69   	 -25.43		  9.38   	  -5.09		
-11.60   	-73.55   	 27.59   	 -25.43		  9.36   	  -5.09		
-11.29   	-73.85   	 27.49   	 -25.43		  9.34   	   0.00		
-12.21   	-77.51   	 27.39   	 -25.43		  9.34   	   0.00		
 -5.19   	-90.33   	 27.28   	 -25.43		  9.34(E)	  10.17		
 28.38   	-112.00   	 27.18   	 -20.35		  9.38   	   5.09		
 97.05   	-114.14   	 27.10   	 -25.43		  9.40   	  10.17		
166.93   	-58.90   	 27.00   	 -25.43		  9.44   	  15.26		
162.35   	 49.74   	 26.90   	 -25.43		  9.50   	  15.26		
  9.77   	146.18   	 26.80   	 -25.43		  9.56   	  40.69		
-630.49   	-26.25   	 26.69   	 -30.52		  9.73   	  25.43		
-816.65   	-256.65   	 26.57   	 -25.43		  9.83   	  20.35		
-737.92   	-404.66(R)	 26.47   	 -30.52		  9.91   	  20.35		
-437.62   	-370.48   	 26.35   	 -25.43		  9.99   	  30.52		
-92.47   	-195.01   	 26.25   	 -20.35		 10.11   	  25.43		
116.88   	-18.62   	 26.16   	 -25.43		 10.21   	  25.43		
130.92   	 45.17   	 26.06   	 -20.35		 10.32   	  30.52		
 27.77   	 -7.02   	 25.98   	 -25.43		 10.44   	  45.78		
-67.75   	-93.08   	 25.88   	 -20.35		 10.62   	  50.86		
-86.36   	-133.97   	 25.80   	 -20.35		 10.82   	  61.04		
-43.03   	-114.44   	 25.72   	 -20.35		 11.07   	  61.04		
  5.19   	-74.46   	 25.64   	 -20.35		 11.31   	  71.21		
 21.36   	-53.71   	 25.55   	 -20.35		 11.60   	  81.38		
  7.02   	-59.81   	 25.47   	 -20.35		 11.92   	  86.47		
-12.82   	-75.99   	 25.39   	 -20.35		 12.27   	  96.64		
-20.75   	-86.36   	 25.31   	 -20.35		 12.66   	 106.82		
-14.95   	-86.67   	 25.23   	 -20.35		 13.08   	 147.51		
 -5.19   	-80.57   	 25.15   	 -20.35		 13.67   	 183.11		
  0.61   	-73.85   	 25.07   	 -20.35		 14.40   	 198.37		
  0.92   	-70.50   	 24.98   	 -20.35		 15.20   	 183.11		
 -1.53   	-71.41   	 24.90   	 -15.26		 15.93   	 183.11		
 -2.44   	-73.55   	 24.84   	 -20.35		 16.66   	 188.20		
 -0.61   	-73.55   	 24.76   	 -20.35		 17.42   	 203.46		
  2.44   	-71.11   	 24.68   	 -20.35		 18.23   	 203.46		
  4.27   	-67.75   	 24.60   	 -25.43		 19.04   	 366.22		
  4.58   	-62.26   	 24.50   	 -25.43		 20.51   	 188.20		
  5.19   	-59.51   	 24.39   	 -15.26		 21.26   	 188.20		
  6.71   	-56.46   	 24.33   	 -20.35		 22.01   	 178.03		
  7.93   	-53.41   	 24.25   	 -15.26		 22.73   	 188.20		
  7.93   	-50.35   	 24.19   	 -15.26		 23.48   	 183.11		
  7.93   	-47.61   	 24.13   	 -15.26		 24.21   	 203.46		
  8.85   	-44.56   	 24.07   	 -15.26		 25.03   	 203.46		
 10.38   	-40.89   	 24.01   	 -10.17		 25.84   	 208.54		
 11.90   	-37.54   	 23.97   	  -5.09		 26.67   	 203.46		
 12.51   	-34.48   	 23.95(D)	  10.17		 27.49   	 223.80		
 12.21   	-32.65   	 23.99   	  15.26		 28.38   	 249.24		
 11.29   	-32.04   	 24.05   	  25.43		 29.38   	 218.72		
 10.68   	-31.43   	 24.15   	  45.78		 30.25   	 167.85		
 10.38   	-30.21   	 24.33   	  61.04		 30.93   	 137.33		
 10.38   	-28.38   	 24.58   	  86.47		 31.47   	 122.07		
 10.38   	-25.94   	 24.92   	 106.82		 31.96   	  96.64		
 10.07   	-23.50   	 25.35   	 127.16		 32.35   	  86.47		
  9.16   	-21.67   	 25.86   	 147.51		 32.70   	  81.38		
  7.93   	-20.45   	 26.45   	 167.85		 33.02   	  66.12		
  7.32   	-19.23   	 27.12   	 193.29		 33.29   	  66.12		
  7.32   	-18.01   	 27.89   	 203.46		 33.55   	  55.95		
  7.63   	-17.09   	 28.71   	 228.89		 33.77   	  55.95		
  7.63   	-16.17   	 29.62   	 233.98		 34.00   	  55.95		
  7.32   	-15.56   	 30.56   	 249.24		 34.22   	  66.12		
  6.41   	-14.04   	 31.56   	 300.10		 34.49   	 127.16		
  6.41   	 -8.85   	 32.76   	 300.10		 34.99   	  61.04		
  6.71   	 -5.49   	 33.96   	 305.19		 35.24   	  66.12		
  7.02   	 -2.14   	 35.18   	 295.01		 35.50   	  66.12		
  6.71   	  1.22   	 36.36   	 295.01		 35.77   	  66.12		
  6.10   	  3.97   	 37.54   	 295.01		 36.03   	  61.04		
  5.49   	  5.80   	 38.72   	 284.84		 36.28   	  61.04		
  4.58   	  6.71   	 39.86   	 274.67		 36.52   	  55.95		
  3.05   	  6.71   	 40.96   	 264.50		 36.74   	  55.95		
  0.61   	  7.32   	 42.01   	 254.32		 36.97   	  45.78		
 -2.14   	  8.85   	 43.03   	 239.06		 37.15   	  45.78		
 -5.19   	 11.29   	 43.99   	 228.89		 37.33   	  45.78		
 -8.24   	 14.04   	 44.90   	 208.54		 37.52   	  40.69		
-11.29   	 17.09   	 45.74   	 193.29		 37.68   	  35.61		
-13.73   	 20.75   	 46.51   	 172.94		 37.82   	  30.52		
-15.87   	 24.72   	 47.20   	 157.68		 37.94   	  25.43		
-17.70   	 28.99   	 47.83   	 142.42		 38.05   	  20.35		
-19.23   	 33.57   	 48.40   	 116.99		 38.13   	  15.26		
-19.84   	 38.76   	 48.87   	 101.73		 38.19   	   5.09		
-19.53   	 44.86   	 49.28   	  86.47		 38.21(S)	   0.00		
-18.31   	 52.80   	 49.62   	  66.12		 38.21   	 -10.17		
-16.48   	 62.26   	 49.89   	  50.86		 38.17   	 -10.17		
-14.04   	 73.24   	 50.09   	  40.69		 38.13   	 -15.26		
-10.99   	 84.84   	 50.25   	  25.43		 38.07   	 -25.43		
 -6.41   	 96.13   	 50.36   	  15.26		 37.97   	 -30.52		
  0.31   	106.51   	 50.42(S)	  -5.09		 37.84   	 -71.21		
 18.31   	119.63   	 50.40   	 -10.17		 37.56   	 -50.86		
 26.86   	119.02   	 50.36   	 -25.43		 37.35   	 -50.86		
 33.57   	112.92   	 50.25   	 -30.52		 37.15   	 -66.12		
 37.84   	101.32   	 50.13   	 -40.69		 36.89   	 -86.47		
 39.98   	 86.67   	 49.97   	 -40.69		 36.54   	 -91.56		
 40.28   	 70.80   	 49.81   	 -50.86		 36.17   	-111.90		
 39.37   	 55.24   	 49.60   	 -50.86		 35.73   	-132.25		
 37.84   	 40.89   	 49.40   	 -61.04		 35.20   	-152.59		
 35.10   	 28.08   	 49.16   	 -71.21		 34.59   	-172.94		
 32.35   	 16.78   	 48.87   	 -71.21		 33.90   	-193.29		
 29.30   	  7.63   	 48.59   	 -81.38		 33.12   	-213.63		
 27.16   	  0.92   	 48.26   	 -81.38		 32.27   	-249.24		
 26.25   	 -3.36   	 47.93   	 -91.56		 31.27   	-264.50		
 26.86   	 -5.80   	 47.57   	 -96.64		 30.21   	-264.50		
 28.08   	 -7.63   	 47.18   	-101.73		 29.16   	-300.10		
 29.30   	 -9.46   	 46.77   	-111.90		 27.96   	-330.62		
 29.91   	-11.90   	 46.33   	-116.99		 26.63   	-320.45		
 29.91   	-13.73   	 45.86   	-127.16		 25.35   	-340.79		
 28.99   	-14.65   	 45.35   	-132.25		 23.99   	-371.31		
 27.47   	-14.65   	 44.82   	-147.51		 22.50   	-376.40		
 25.63   	-13.43   	 44.23   	-162.77		 21.00   	-356.05		
 24.41   	-12.21   	 43.58   	-172.94		 19.57   	-340.79		
 24.11   	-11.60   	 42.89   	-183.11		 18.21   	-340.79		
 24.11   	-11.90   	 42.16   	-188.20		 16.85   	-330.62		
 23.80   	-13.12   	 41.40   	-193.29		 15.52   	-310.27		
 23.50   	-14.34   	 40.63   	-188.20		 14.28   	-295.01		
 23.50   	-14.65   	 39.88   	-183.11		 13.10   	-269.58		
 23.80   	-14.34   	 39.15   	-167.85		 12.02   	-249.24		
 24.41   	-13.73   	 38.47   	-157.68		 11.03   	-223.80		
 25.02   	-13.73   	 37.84   	-137.33		 10.13   	-188.20		
 25.33   	-14.95   	 37.29   	-127.16		  9.38   	-162.77		
 25.63   	-16.78   	 36.79   	-111.90		  8.73   	-137.33		
 26.86   	-17.70   	 36.34   	-106.82		  8.18   	-111.90		
 28.99   	-17.09   	 35.91   	 -91.56		  7.73   	 -86.47		
 31.13   	-14.95   	 35.54   	 -86.47		  7.39   	 -71.21		
 32.96   	-11.90   	 35.20   	 -76.30		  7.10   	 -45.78		
 33.26   	 -9.46   	 34.89   	 -76.30		  6.92   	 -30.52		
 32.35   	 -8.54   	 34.59   	 -76.30		  6.80   	 -20.35		
 31.13   	 -8.54   	 34.28   	 -66.12		  6.71   	   5.09		
 30.21   	 -9.46   	 34.02   	 -71.21		  6.73   	  10.17		
 29.91   	-10.07   	 33.73   	 -66.12		  6.78   	  10.17		
 28.99   	-10.68   	 33.47   	 -66.12		  6.82   	   0.00		
 27.47   	-11.60   	 33.20   	 -66.12		  6.82   	 -10.17		
 25.33   	-12.21   	 32.94   	 -61.04		  6.78   	 -15.26		
 23.50   	-12.21   	 32.70   	 -66.12		  6.71   	 -20.35		
 22.89   	-11.60   	 32.43   	 -55.95		  6.63   	 -10.17		
 23.50   	-10.99   	 32.21   	 -61.04		  6.59(D)	   5.09		
 24.41   	-10.68   	 31.96   	 -55.95		  6.61   	  20.35		
 25.02   	-10.99   	 31.74   	 -50.86		  6.69   	  40.69		
 25.33   	-11.60   	 31.54   	 -50.86		  6.86   	  61.04		
 25.02   	-11.29   	 31.33   	 -45.78		  7.10   	  66.12		
 24.41   	-10.38   	 31.15   	 -45.78		  7.37   	  76.30		
 22.89   	 -9.46   	 30.97   	 -45.78		  7.67   	  76.30		
 21.67   	 -8.85   	 30.78   	 -35.61		  7.98   	  76.30		
 20.75   	 -9.16   	 30.64   	 -40.69		  8.28   	  66.12		
 20.45   	 -9.77   	 30.48   	 -35.61		  8.55   	  61.04		
 21.36   	 -9.77   	 30.34   	 -30.52		  8.79   	  50.86		
 22.28   	 -9.77   	 30.21   	 -35.61		  8.99   	  50.86		
 23.19   	 -9.46   	 30.07   	 -30.52		  9.20   	  35.61		
 24.41   	 -7.63   	 29.95   	 -30.52		  9.34   	  30.52		
 27.47   	 -3.05   	 29.83   	 -25.43		  9.46   	  30.52		
 33.87   	  4.58   	 29.73   	 -30.52		  9.58   	  20.35		
 45.17   	 15.87   	 29.60   	 -25.43		  9.66   	  15.26		
 60.12   	 31.13   	 29.50   	 -30.52		  9.73   	  10.17		
 75.99   	 49.74   	 29.38   	 -25.43		  9.77   	   5.09		
 89.42   	 72.33   	 29.28   	 -20.35		  9.79   	   5.09		
 99.18   	 97.66   	 29.20   	 -25.43		  9.81   	  -5.09		
105.59   	120.85   	 29.09   	 -30.52		  9.79   	   5.09		
110.17   	135.19   	 28.97   	 -25.43		  9.81   	  -5.09		
112.00   	133.67   	 28.87   	 -25.43		  9.79   	  -5.09		
108.34   	114.14   	 28.77   	 -25.43		  9.77   	 -10.17		
 95.52   	 79.35   	 28.67   	 -30.52		  9.73   	 -15.26		
 73.55   	 36.62   	 28.55   	 -25.43		  9.66   	 -15.26		
 45.78   	 -4.27   	 28.44   	 -25.43		  9.60   	 -20.35		
 18.92   	-36.32   	 28.34   	 -25.43		  9.52   	 -15.26		
 -2.14   	-55.85   	 28.24   	 -25.43		  9.46   	 -20.35		
-14.95   	-63.48   	 28.14   	 -20.35		  9.38   	 -20.35		
-19.84   	-63.48   	 28.06   	 -25.43		  9.30   	 -15.26		
-18.92   	-61.04   	 27.96   	 -25.43		  9.24   	   0.00		
-16.17   	-59.51   	 27.85   	 -25.43		  9.24   	   0.00		
-14.04   	-60.12   	 27.75   	 -25.43		  9.24   	   0.00		
-14.04   	-61.34   	 27.65   	 -25.43		  9.24   	   0.00		
-13.73   	-65.61   	 27.55   	 -25.43		  9.24(E)	  10.17		
 -1.53   	-80.87   	 27.45   	 -25.43		  9.28   	  10.17		
 41.81   	-100.40   	 27.34   	 -25.43		  9.32   	   5.09		
115.36   	-88.50   	 27.24   	 -25.43		  9.34   	  15.26		
170.59   	-15.87   	 27.14   	 -25.43		  9.40   	  20.35		
127.26   	 95.83   	 27.04   	 -20.35		  9.48   	  15.26		
-76.29   	165.41   	 26.96   	 -30.52		  9.54   	  55.95		
-715.33   	-89.72   	 26.84   	 -25.43		  9.77   	  25.43		
-824.59   	-308.84   	 26.73   	 -25.43		  9.87   	  30.52		
-663.15   	-401.31(R)	 26.63   	 -25.43		  9.99   	  25.43		
-325.01   	-308.53   	 26.53   	 -30.52		 10.09   	  25.43		
 -3.97   	-114.14   	 26.41   	 -25.43		 10.19   	  20.35		
145.26   	 35.10   	 26.31   	 -25.43		 10.27   	  25.43		
109.56   	 56.15   	 26.21   	 -20.35		 10.38   	  30.52		
 -4.27   	-18.62   	 26.12   	 -25.43		 10.50   	  35.61		
-79.04   	-97.66   	 26.02   	 -20.35		 10.64   	  50.86		
-72.33   	-117.49   	 25.94   	 -25.43		 10.84   	  55.95		
-19.23   	-84.84   	 25.84   	 -20.35		 11.07   	  66.12		
 23.80   	-45.78   	 25.76   	 -25.43		 11.33   	  76.30		
 30.82   	-31.74   	 25.66   	 -20.35		 11.64   	  81.38		
 13.12   	-40.89   	 25.57   	 -20.35		 11.96   	  96.64		
 -4.58   	-55.85   	 25.49   	 -20.35		 12.35   	 111.90		
 -8.85   	-63.78   	 25.41   	 -20.35		 12.80   	 127.16		
 -2.44   	-63.48   	 25.33   	 -20.35		 13.31   	 152.59		
  6.41   	-58.29   	 25.25   	 -20.35		 13.92   	 172.94		
 10.68   	-53.10   	 25.17   	 -15.26		 14.61   	 167.85		
  9.46   	-50.96   	 25.11   	 -20.35		 15.28   	 152.59		
  5.19   	-52.19   	 25.03   	 -20.35		 15.89   	 167.85		
  2.14   	-54.32   	 24.94   	 -20.35		 16.56   	 178.03		
  2.44   	-54.02   	 24.86   	 -20.35		 17.27   	 183.11		
  5.19   	-51.27   	 24.78   	 -20.35		 18.01   	 208.54		
  7.93   	-47.61   	 24.70   	 -25.43		 18.84   	 417.09		
  8.85   	-42.11   	 24.60   	 -20.35		 20.51   	 208.54		
  8.24   	-40.28   	 24.52   	 -15.26		 21.34   	 203.46		
  9.16   	-37.84   	 24.46   	 -20.35		 22.16   	 213.63		
 10.38   	-35.40   	 24.37   	 -20.35		 23.01   	 218.72		
 10.99   	-33.57   	 24.29   	 -20.35		 23.89   	 223.80		
 10.68   	-32.35   	 24.21   	 -15.26		 24.78   	 218.72		
 10.07   	-31.43   	 24.15   	 -10.17		 25.66   	 218.72		
  9.46   	-30.21   	 24.11   	  -5.09		 26.53   	 223.80		
  9.77   	-27.47   	 24.09(D)	   0.00		 27.43   	 244.15		
 10.07   	-23.80   	 24.09   	   5.09		 28.40   	 233.98		
  9.77   	-20.14   	 24.11   	  20.35		 29.34   	 183.11		
  8.24   	-17.40   	 24.19   	  35.61		 30.07   	 147.51		
  6.41   	-16.48   	 24.33   	  55.95		 30.66   	 127.16		
  4.88   	-16.48   	 24.56   	  71.21		 31.17   	 106.82		
  4.27   	-16.17   	 24.84   	  96.64		 31.60   	  91.56		
  4.58   	-14.65   	 25.23   	 111.90		 31.96   	  81.38		
  4.88   	-12.82   	 25.68   	 142.42		 32.29   	  66.12		
  5.19   	-10.68   	 26.25   	 157.68		 32.55   	  66.12		
  4.88   	 -9.46   	 26.88   	 183.11		 32.82   	  66.12		
  4.27   	 -8.85   	 27.61   	 198.37		 33.08   	  61.04		
  3.66   	 -8.54   	 28.40   	 218.72		 33.33   	  61.04		
  3.05   	 -7.32   	 29.28   	 228.89		 33.57   	  66.12		
  2.75   	 -4.88   	 30.19   	 249.24		 33.84   	  66.12		
  2.44   	 -1.53   	 31.19   	 254.32		 34.10   	  66.12		
  2.14   	  2.14   	 32.21   	 310.27		 34.36   	 137.33		
  2.14   	  9.16   	 33.45   	 310.27		 34.91   	  76.30		
  1.53   	 11.90   	 34.69   	 305.19		 35.22   	  66.12		
  0.31   	 14.34   	 35.91   	 300.10		 35.48   	  71.21		
 -0.61   	 16.78   	 37.11   	 300.10		 35.77   	  66.12		
 -0.92   	 19.84   	 38.31   	 295.01		 36.03   	  66.12		
 -0.31   	 23.50   	 39.49   	 289.93		 36.30   	  61.04		
  0.31   	 27.16   	 40.65   	 274.67		 36.54   	  61.04		
  0.00   	 29.91   	 41.75   	 264.50		 36.79   	  50.86		
 -1.53   	 32.35   	 42.81   	 249.24		 36.99   	  50.86		
 -3.66   	 34.48   	 43.80   	 239.06		 37.19   	  40.69		
 -5.49   	 37.54   	 44.76   	 218.72		 37.35   	  45.78		
 -7.02   	 41.50   	 45.64   	 208.54		 37.54   	  30.52		
 -8.54   	 46.08   	 46.47   	 188.20		 37.66   	  30.52		
 -9.77   	 50.66   	 47.22   	 167.85		 37.78   	  30.52		
-10.68   	 54.63   	 47.89   	 147.51		 37.90   	  20.35		
-11.29   	 57.98   	 48.48   	 132.25		 37.99   	  10.17		
-11.29   	 60.73   	 49.01   	 111.90		 38.03   	   5.09		
-11.90   	 63.17   	 49.46   	  96.64		 38.05   	   5.09		
-13.12   	 66.83   	 49.85   	  81.38		 38.07(S)	  -5.09		
-15.26   	 72.63   	 50.17   	  61.04		 38.05   	 -10.17		
-17.09   	 80.57   	 50.42   	  45.78		 38.01   	 -10.17		
-17.09   	 90.64   	 50.60   	  35.61		 37.97   	 -20.35		
-14.34   	101.93   	 50.74   	  20.35		 37.88   	 -25.43		
 -8.24   	113.83   	 50.82   	   5.09		 37.78   	 -25.43		
  1.22   	124.51   	 50.84(S)	 -15.26		 37.68   	 -81.38		
 23.80   	134.28   	 50.78   	 -20.35		 37.35   	 -55.95		
 32.96   	129.70   	 50.70   	 -30.52		 37.13   	 -61.04		
 39.06   	119.02   	 50.58   	 -40.69		 36.89   	 -76.30		
 41.50   	104.06   	 50.42   	 -40.69		 36.58   	 -86.47		
 41.50   	 87.28   	 50.25   	 -50.86		 36.24   	-106.82		
 40.28   	 70.50   	 50.05   	 -55.95		 35.81   	-111.90		
 39.67   	 55.85   	 49.83   	 -61.04		 35.36   	-137.33		
