SAMPLE NUMBER:   8
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  III     	  RV     	  RV'		  AO     	  AO'		  LPV     	  LPV'		
 26.55   	 26.25   	 70.84   	-127.16		 64.82   	 -71.21		  6.43   	 -30.52		
 26.55   	 26.25   	 70.34   	-116.99		 64.54   	 -66.12		  6.31   	 -25.43		
 26.25   	 26.25   	 69.87   	 -76.30		 64.27   	 -66.12		  6.21   	 -45.78		
 29.91   	 30.21   	 69.56   	 -10.17		 64.01   	 -61.04		  6.02   	 -55.95		
 39.67   	 39.98   	 69.52   	  76.30		 63.76   	 -66.12		  5.80   	 -40.69		
 54.02   	 54.02   	 69.83   	 157.68		 63.50   	 -55.95		  5.64   	 -15.26		
 71.11   	 70.80   	 70.46   	 254.32		 63.28   	 -40.69		  5.57   	   5.09		
 89.42   	 88.81   	 71.47   	 335.71		 63.11   	 -30.52		  5.60   	   5.09		
109.25   	108.95   	 72.82   	 406.92		 62.99   	  -5.09		  5.62   	  -5.09		
131.23   	131.23   	 74.45   	 457.78		 62.97(D)	  30.52		  5.60   	  -5.09		
154.42   	154.42   	 76.28   	 498.47		 63.09   	  71.21		  5.57   	 -15.26		
178.22   	178.22   	 78.27   	 508.65		 63.38   	 122.07		  5.51   	  -5.09		
201.11   	201.11   	 80.30   	 503.56		 63.87   	 178.03		  5.49   	  -5.09		
221.86   	221.86   	 82.32   	 478.13		 64.58   	 244.15		  5.47   	 -10.17		
239.56   	239.56   	 84.23   	 437.43		 65.55   	 305.19		  5.43   	 -10.17		
252.99   	252.99   	 85.98   	 381.48		 66.77   	 366.22		  5.39   	  -5.09		
261.84   	262.15   	 87.51   	 300.10		 68.24   	 523.90		  5.37   	 -30.52		
268.55   	269.17   	 88.71   	 228.89		 70.34   	 564.60		  5.25   	 -15.26		
267.94   	268.55   	 89.62   	 167.85		 72.59   	 595.11		  5.19   	 -10.17		
264.28   	264.59   	 90.29   	 116.99		 74.97   	 615.46		  5.15   	  -5.09		
255.74   	255.43   	 90.76   	  71.21		 77.44   	 625.63		  5.13   	  -5.09		
241.39   	240.78   	 91.05   	  40.69		 79.94   	 630.72		  5.11   	   5.09		
220.34   	219.73   	 91.21   	  25.43		 82.46   	 625.63		  5.13   	  15.26		
192.87   	192.57   	 91.31   	  20.35		 84.96   	 615.46		  5.19   	  10.17		
160.83   	160.52   	 91.39   	  20.35		 87.43   	 595.11		  5.23   	  10.17		
127.56   	127.56   	 91.47   	  35.61		 89.81   	 574.77		  5.27   	  15.26		
 96.13   	 96.13   	 91.62   	  50.86		 92.11   	 544.25		  5.33   	  20.35		
 68.05   	 68.05   	 91.82   	  76.30		 94.28   	 508.65		  5.41   	  25.43		
 43.64   	 43.64   	 92.13   	  96.64		 96.32   	 473.04		  5.51   	  35.61		
 22.58   	 22.58   	 92.51   	 122.07		 98.21   	 427.26		  5.66   	  35.61		
  5.19   	  5.49   	 93.00   	 132.25		 99.92   	 386.57		  5.80   	  25.43		
 -8.85   	 -8.54   	 93.53   	 147.51		101.46   	 340.79		  5.90   	  10.17		
-20.14   	-19.84   	 94.12   	 147.51		102.83   	 295.01		  5.94   	  10.17		
-29.30   	-29.30   	 94.71   	 137.33		104.01   	 249.24		  5.98   	  30.52		
-35.40   	-35.40   	 95.26   	 132.25		105.00   	 208.54		  6.10   	  50.86		
-37.54   	-37.84   	 95.79   	 106.82		105.84   	 172.94		  6.31   	  45.78		
-36.01   	-36.32   	 96.22   	  76.30		106.53   	 132.25		  6.49   	  30.52		
-33.26   	-33.57   	 96.52   	  50.86		107.06   	 106.82		  6.61   	  15.26		
-31.43   	-31.74   	 96.72   	  15.26		107.49   	  76.30		  6.67   	   5.09		
-32.04   	-32.04   	 96.78(S)	 -15.26		107.79   	  50.86		  6.69   	  10.17		
-35.10   	-35.10   	 96.72   	 -40.69		108.00   	  30.52		  6.73   	  15.26		
-39.06   	-39.06   	 96.56   	 -61.04		108.12   	  20.35		  6.80   	  20.35		
-43.03   	-43.03   	 96.32   	 -86.47		108.20(S)	   0.00		  6.88   	  10.17		
-47.00   	-47.00   	 95.97   	 -96.64		108.20   	 -10.17		  6.92   	   0.00		
-50.96   	-51.27   	 95.58   	-106.82		108.16   	 -20.35		  6.92   	   5.09		
-54.02   	-54.32   	 95.16   	-116.99		108.08   	 -30.52		  6.94   	  20.35		
-57.07   	-57.37   	 94.69   	-132.25		107.95   	 -40.69		  7.02   	  20.35		
-60.12   	-60.42   	 94.16   	-137.33		107.79   	 -50.86		  7.10   	  15.26		
-62.26   	-62.56   	 93.61   	-167.85		107.59   	 -55.95		  7.16   	   5.09		
-62.26   	-62.56   	 92.94   	-203.46		107.36   	 -66.12		  7.18   	  -5.09		
-58.90   	-59.20   	 92.13   	-244.15		107.10   	 -76.30		  7.16   	   5.09		
-53.41   	-54.02   	 91.15   	-315.36		106.80   	 -81.38		  7.18   	  10.17		
-47.30   	-48.22   	 89.89   	-391.66		106.47   	 -96.64		  7.22   	  20.35		
-42.11   	-43.03   	 88.32   	-503.56		106.08   	-111.90		  7.30   	  25.43		
-38.15   	-39.06   	 86.31   	-625.63		105.64   	-116.99		  7.41   	  30.52		
-35.40   	-36.32   	 83.80   	-757.88		105.17   	-132.25		  7.53   	  45.78		
-33.57   	-34.18   	 80.77   	-895.22		104.64   	-142.42		  7.71   	  45.78		
-32.04   	-32.35   	 77.19   	-1037.64		104.07   	-157.68		  7.89   	  50.86		
-29.60   	-29.91   	 73.04   	-1159.71		103.44   	-162.77		  8.10   	  50.86		
-25.94   	-25.94   	 68.40   	-1246.18		102.79   	-178.03		  8.30   	  55.95		
-22.58   	-22.28   	 63.42   	-1307.22		102.07   	-183.11		  8.52   	  50.86		
-20.75   	-20.14   	 58.19   	-1322.48		101.34   	-193.29		  8.73   	  40.69		
-20.75   	-20.45   	 52.90   	-1307.22		100.57   	-208.54		  8.89   	  20.35		
-20.75   	-20.45   	 47.67   	-1256.35		 99.74   	-208.54		  8.97   	  -5.09		
-18.92   	-18.62   	 42.64   	-1180.06		 98.90   	-218.72		  8.95   	 -20.35		
-14.95   	-14.65   	 37.92   	-1083.41		 98.03   	-223.80		  8.87   	   0.00		
-11.29   	-10.99   	 33.59   	-971.51		 97.13   	-233.98		  8.87   	  20.35		
 -9.16   	 -8.54   	 29.70   	-844.35		 96.19   	-233.98		  8.95   	  20.35		
 -8.24   	 -7.63   	 26.33   	-722.28		 95.26   	-244.15		  9.03   	   5.09		
 -7.32   	 -7.02   	 23.44   	-595.11		 94.28   	-249.24		  9.05(V)	 -20.35		
 -6.41   	 -6.41   	 21.06   	-478.13		 93.29   	-254.32		  8.97   	 -25.43		
 -6.71   	 -7.02   	 19.15   	-381.48		 92.27   	-259.41		  8.87   	 -15.26		
 -9.77   	-10.07   	 17.62   	-295.01		 91.23   	-254.32		  8.81   	  -5.09		
-15.87   	-15.87   	 16.44   	-213.63		 90.21   	-254.32		  8.79   	  15.26		
-22.89   	-22.89   	 15.58   	-162.77		 89.20   	-249.24		  8.85   	  25.43		
-28.69   	-28.69   	 14.93   	-116.99		 88.20   	-239.06		  8.95   	 -15.26		
-32.04   	-32.35   	 14.47   	 -96.64		 87.24   	-228.89		  8.89   	 -40.69		
-32.65   	-32.96   	 14.08   	 -86.47		 86.33   	-218.72		  8.73   	 -40.69		
-31.13   	-31.43   	 13.73   	 -86.47		 85.45   	-208.54		  8.57   	 -10.17		
-27.77   	-27.77   	 13.39   	-111.90		 84.62   	-193.29		  8.52   	  25.43		
-22.28   	-21.97   	 12.94   	-127.16		 83.85   	-178.03		  8.63   	  35.61		
-14.65   	-14.65   	 12.43   	-152.59		 83.13   	-172.94		  8.77   	   0.00		
 -6.71   	 -7.02   	 11.82   	-178.03		 82.44   	-152.59		  8.77   	 -45.78		
 -0.31   	 -0.92   	 11.11   	-193.29		 81.83   	-147.51		  8.59   	 -50.86		
  2.44   	  1.53   	 10.34   	-198.37		 81.24   	-137.33		  8.38   	 -25.43		
  1.83   	  1.22   	  9.54   	-208.54		 80.69   	-127.16		  8.28   	 -10.17		
  0.31   	  0.00   	  8.71   	-213.63		 80.18   	-116.99		  8.24   	  -5.09		
 -0.61   	 -0.61   	  7.85   	-203.46		 79.71   	-111.90		  8.22   	 -10.17		
 -0.61   	 -0.31   	  7.04   	-203.46		 79.27   	-106.82		  8.18   	   0.00		
 -1.53   	 -1.22   	  6.23   	-188.20		 78.84   	 -96.64		  8.18   	   5.09		
 -4.88   	 -4.88   	  5.47   	-172.94		 78.45   	 -91.56		  8.20   	   5.09		
 -9.46   	 -9.46   	  4.78   	-137.33		 78.09   	 -86.47		  8.22   	   0.00		
-12.82   	-13.12   	  4.23   	 -96.64		 77.74   	 -76.30		  8.22   	  15.26		
-12.82   	-13.43   	  3.85   	 -61.04		 77.44   	 -76.30		  8.28   	  20.35		
 -7.93   	 -8.54   	  3.60   	 -10.17		 77.13   	 -66.12		  8.36   	  20.35		
  3.36   	  3.05   	  3.56(D)	  30.52		 76.87   	 -66.12		  8.44   	  15.26		
 22.28   	 22.58   	  3.68   	  66.12		 76.60   	 -61.04		  8.50   	  25.43		
 48.22   	 48.83   	  3.95   	 101.73		 76.36   	 -50.86		  8.61   	  30.52		
 77.82   	 78.43   	  4.35   	 132.25		 76.15   	 -50.86		  8.73   	  20.35		
104.68   	104.98   	  4.88   	 147.51		 75.95   	 -45.78		  8.81   	   0.00		
123.90   	123.90   	  5.47   	 162.77		 75.77   	 -40.69		  8.81   	   5.09		
133.36   	133.06   	  6.12   	 167.85		 75.60   	 -40.69		  8.83   	  20.35		
134.58   	133.97   	  6.80   	 162.77		 75.44   	 -35.61		  8.91   	  35.61		
128.48   	127.87   	  7.45   	 142.42		 75.30   	 -30.52		  9.05   	  20.35		
116.27   	115.97   	  8.02   	 122.07		 75.18   	 -35.61		  9.14   	  15.26		
 98.88   	 98.27   	  8.50   	  96.64		 75.04   	 -35.61		  9.20   	   0.00		
 79.65   	 79.04   	  8.89   	  71.21		 74.89   	 -30.52		  9.20   	   5.09		
 62.26   	 61.34   	  9.18   	  40.69		 74.77   	 -35.61		  9.22   	  25.43		
 49.44   	 48.52   	  9.34   	  20.35		 74.63   	 -35.61		  9.32   	  40.69		
 40.89   	 39.98   	  9.42   	   0.00		 74.49   	 -40.69		  9.48   	  50.86		
 35.10   	 34.18   	  9.42   	 -10.17		 74.32   	 -35.61		  9.68   	  30.52		
 29.60   	 28.69   	  9.38   	 -20.35		 74.18   	 -40.69		  9.81   	  20.35		
 21.06   	 20.14   	  9.30   	 -25.43		 74.02   	 -40.69		  9.89   	  20.35		
  6.71   	  6.10   	  9.20   	 -25.43		 73.86   	 -40.69		  9.97   	  30.52		
-11.90   	-11.90   	  9.09   	 -20.35		 73.69   	 -45.78		 10.09   	  40.69		
-29.60   	-29.30   	  9.01   	 -10.17		 73.51   	 -45.78		 10.25   	  50.86		
-41.20   	-41.20   	  8.97   	 -10.17		 73.33   	 -50.86		 10.46   	  55.95		
-44.56   	-44.56   	  8.93   	   0.00		 73.12   	 -50.86		 10.68   	  55.95		
-44.86   	-45.17   	  8.93   	   5.09		 72.92   	 -45.78		 10.91   	  55.95		
-47.00   	-47.61   	  8.95   	   5.09		 72.74   	 -50.86		 11.13   	  61.04		
-52.80   	-53.10   	  8.97   	  10.17		 72.53   	 -55.95		 11.37   	  61.04		
-59.81   	-60.12   	  9.01   	   0.00		 72.31   	 -50.86		 11.62   	  55.95		
-63.78   	-64.09   	  9.01   	   5.09		 72.11   	 -50.86		 11.84   	  55.95		
-62.56   	-62.87   	  9.03   	   5.09		 71.90   	 -55.95		 12.07   	  71.21		
-57.07   	-57.37   	  9.05   	  20.35		 71.68   	 -55.95		 12.35   	  81.38		
-49.44   	-49.44   	  9.14   	  25.43		 71.45   	 -55.95		 12.68   	  71.21		
-42.42   	-42.42   	  9.24   	  45.78		 71.23   	 -55.95		 12.96   	  40.69		
-39.06   	-39.06   	  9.42   	  66.12		 71.01   	 -61.04		 13.12   	  20.35		
-41.81   	-42.11   	  9.68   	  86.47		 70.76   	 -55.95		 13.20(A)	  -5.09		
-51.88   	-52.19   	 10.03   	 101.73		 70.54   	 -61.04		 13.18   	 -10.17		
-66.53   	-66.83   	 10.44   	 116.99		 70.29   	 -55.95		 13.14   	 -30.52		
-75.99   	-76.29   	 10.91   	 116.99		 70.07   	 -61.04		 13.02   	 -55.95		
-62.26   	-62.56   	 11.37   	 122.07		 69.83   	 -55.95		 12.80   	 -91.56		
 -1.83   	 -2.14   	 11.86   	 122.07		 69.60   	 -61.04		 12.43   	 -96.64		
123.60   	122.99   	 12.35   	 111.90		 69.36   	 -61.04		 12.04   	 -91.56		
298.46   	297.55   	 12.80   	  96.64		 69.11   	 -61.04		 11.68   	 -91.56		
448.30   	447.39   	 13.18   	  66.12		 68.87   	 -71.21		 11.31   	-188.20		
276.79   	276.18   	 13.45   	  40.69		 68.59   	 -71.21		 10.56   	 -61.04		
-112.61   	-112.92   	 13.61   	  15.26		 68.30   	 -76.30		 10.32   	 -30.52		
-559.08   	-559.08   	 13.67   	  -5.09		 68.00   	 -71.21		 10.19   	 -20.35		
-861.21   	-861.21   	 13.65   	 -15.26		 67.71   	 -76.30		 10.11   	 -10.17		
-878.30   	-878.30(R)	 13.59   	 -20.35		 67.41   	 -71.21		 10.07   	 -10.17		
-620.12   	-620.12   	 13.51   	 -20.35		 67.12   	 -71.21		 10.03   	  15.26		
-241.39   	-241.39   	 13.43(E)	 -10.17		 66.84   	 -71.21		 10.09   	  25.43		
 61.34   	 61.34   	 13.39   	  10.17		 66.55   	 -71.21		 10.19   	  15.26		
175.17   	175.17   	 13.43   	  25.43		 66.27   	 -66.12		 10.25   	   0.00		
123.90   	123.60   	 13.53   	  50.86		 66.00   	 -66.12		 10.25   	 -10.17		
 19.23   	 18.92   	 13.73   	 101.73		 65.74   	 -66.12		 10.21   	   5.09		
-36.62   	-37.23   	 14.14   	 157.68		 65.47   	 -61.04		 10.23   	  15.26		
-17.09   	-17.70   	 14.77   	 239.06		 65.23   	 -61.04		 10.29   	 -10.17		
 38.76   	 38.15   	 15.73   	 335.71		 64.98   	 -61.04		 10.25   	 -55.95		
 79.04   	 78.43   	 17.07   	 457.78		 64.74   	 -61.04		 10.03   	 -71.21		
 81.48   	 81.18   	 18.90   	 584.94		 64.50   	 -61.04		  9.75   	 -50.86		
 61.04   	 60.73   	 21.24   	 732.45		 64.25   	 -61.04		  9.54   	 -30.52		
 43.64   	 43.33   	 24.17   	 940.99		 64.01   	 -61.04		  9.42   	 -25.43		
 42.42   	 41.81   	 27.93   	1154.62		 63.76   	 -61.04		  9.32   	 -25.43		
 54.02   	 53.41   	 32.55   	1251.27		 63.52   	 -66.12		  9.22   	   0.00		
 67.14   	 66.53   	 37.56   	1276.70		 63.26   	 -61.04		  9.22   	  10.17		
 74.16   	 73.55   	 42.67   	1297.04		 63.01   	 -66.12		  9.26   	 -15.26		
 73.85   	 73.24   	 47.85   	1236.01		 62.75   	 -61.04		  9.20   	 -45.78		
 68.36   	 67.75   	 52.80   	1108.85		 62.50   	 -61.04		  9.01   	 -45.78		
 62.26   	 61.65   	 57.23   	 900.30		 62.26   	 -71.21		  8.83   	 -55.95		
 59.20   	 58.59   	 60.83   	 691.76		 61.97   	 -66.12		  8.61   	 -35.61		
 60.42   	 60.12   	 63.60   	 498.47		 61.71   	 -61.04		  8.46   	 -55.95		
 60.42   	 60.12   	 65.59   	 320.45		 61.46   	 -61.04		  8.24   	 -61.04		
 58.90   	 58.90   	 66.88   	 172.94		 61.22   	 -61.04		  8.00   	 -55.95		
 58.59   	 58.59   	 67.57   	  61.04		 60.98   	 -61.04		  7.77   	 -45.78		
 62.26   	 61.95   	 67.81   	 -20.35		 60.73   	 -55.95		  7.59   	 -45.78		
 68.97   	 68.66   	 67.73   	 -61.04		 60.51   	 -55.95		  7.41   	 -50.86		
 77.51   	 77.21   	 67.49   	 -61.04		 60.28   	 -50.86		  7.20   	 -45.78		
 84.84   	 84.53   	 67.24   	 -40.69		 60.08   	 -55.95		  7.02   	 -35.61		
 90.94   	 90.94   	 67.08   	  10.17		 59.86   	 -55.95		  6.88   	 -20.35		
 96.13   	 96.44   	 67.12   	  71.21		 59.63   	 -55.95		  6.80   	 -10.17		
102.23   	102.54   	 67.41   	 157.68		 59.41   	 -50.86		  6.75   	 -10.17		
110.78   	111.08   	 68.04   	 233.98		 59.21   	 -50.86		  6.71   	 -20.35		
122.99   	122.99   	 68.97   	 310.27		 59.00   	 -40.69		  6.63   	 -25.43		
139.47   	139.16   	 70.21   	 381.48		 58.84   	 -25.43		  6.53   	 -10.17		
159.61   	159.00   	 71.74   	 432.35		 58.74   	  -5.09		  6.49   	  -5.09		
180.97   	180.36   	 73.47   	 467.95		 58.72(D)	  20.35		  6.47   	  -5.09		
202.64   	202.33   	 75.34   	 483.21		 58.80   	  61.04		  6.45   	 -10.17		
224.30   	224.30   	 77.27   	 493.39		 59.04   	 101.73		  6.41   	 -20.35		
245.67   	245.67   	 79.25   	 473.04		 59.45   	 152.59		  6.33   	 -30.52		
265.50   	265.50   	 81.14   	 437.43		 60.06   	 213.63		  6.21   	 -25.43		
282.29   	281.98   	 82.89   	 401.83		 60.92   	 274.67		  6.10   	 -25.43		
295.10   	294.80   	 84.50   	 356.05		 62.01   	 335.71		  6.00   	 -35.61		
305.18   	304.87   	 85.92   	 295.01		 63.36   	 391.66		  5.86   	 -35.61		
314.94   	314.94   	 87.10   	 223.80		 64.92   	 559.51		  5.72   	 -45.78		
330.81   	330.81   	 88.00   	 167.85		 67.16   	 595.11		  5.53   	 -25.43		
333.56   	333.86   	 88.67   	 132.25		 69.54   	 625.63		  5.43   	 -10.17		
331.73   	332.03   	 89.20   	  91.56		 72.04   	 645.98		  5.39   	   0.00		
325.32   	325.62   	 89.56   	  71.21		 74.63   	 661.24		  5.39   	   5.09		
314.03   	314.03   	 89.85   	  55.95		 77.27   	 671.41		  5.41   	  15.26		
296.94   	296.94   	 90.07   	  50.86		 79.96   	 671.41		  5.47   	  20.35		
272.52   	272.22   	 90.27   	  55.95		 82.64   	 661.24		  5.55   	  25.43		
242.00   	241.70   	 90.50   	  71.21		 85.29   	 651.07		  5.66   	  20.35		
207.52   	207.21   	 90.78   	  86.47		 87.89   	 620.55		  5.74   	  15.26		
172.42   	172.42   	 91.13   	 101.73		 90.38   	 600.20		  5.80   	  25.43		
140.08   	140.38   	 91.54   	 116.99		 92.78   	 564.60		  5.90   	  50.86		
112.92   	113.22   	 92.00   	 127.16		 95.04   	 523.90		  6.10   	  45.78		
 92.16   	 92.16   	 92.51   	 137.33		 97.13   	 483.21		  6.29   	  30.52		
 76.29   	 75.99   	 93.06   	 137.33		 99.06   	 437.43		  6.41   	  15.26		
 63.17   	 62.56   	 93.61   	 132.25		100.81   	 391.66		  6.47   	   5.09		
 51.88   	 51.27   	 94.14   	 122.07		102.38   	 335.71		  6.49   	  15.26		
 43.64   	 42.72   	 94.63   	 101.73		103.72   	 284.84		  6.55   	  20.35		
 38.45   	 37.54   	 95.04   	  76.30		104.86   	 239.06		  6.63   	  20.35		
 35.40   	 34.48   	 95.34   	  50.86		105.82   	 188.20		  6.71   	   5.09		
 32.35   	 31.43   	 95.54   	  25.43		106.57   	 147.51		  6.73   	  -5.09		
 28.38   	 27.77   	 95.65(S)	  -5.09		107.16   	 101.73		  6.71   	   0.00		
 24.41   	 24.11   	 95.63   	 -30.52		107.57   	  61.04		  6.71   	  20.35		
 22.58   	 22.58   	 95.50   	 -55.95		107.81   	  30.52		  6.80   	  25.43		
 22.58   	 22.58   	 95.28   	 -71.21		107.93(S)	   0.00		  6.90   	  15.26		
 22.89   	 23.19   	 94.99   	 -91.56		107.93   	 -20.35		  6.96   	 -10.17		
 21.06   	 21.36   	 94.63   	 -96.64		107.85   	 -35.61		  6.92   	   5.09		
 16.78   	 16.78   	 94.24   	-106.82		107.71   	 -50.86		  6.94   	  15.26		
 12.21   	 12.21   	 93.81   	-106.82		107.51   	 -55.95		  7.00   	  30.52		
  9.77   	  9.77   	 93.39   	-111.90		107.28   	 -55.95		  7.12   	  20.35		
 10.38   	 10.38   	 92.94   	-116.99		107.06   	 -61.04		  7.20   	   5.09		
 13.12   	 13.12   	 92.47   	-127.16		106.82   	 -55.95		  7.22   	  -5.09		
 15.87   	 16.17   	 91.96   	-152.59		106.59   	 -50.86		  7.20   	   0.00		
 17.40   	 17.70   	 91.35   	-183.11		106.39   	 -55.95		  7.20   	   5.09		
 16.78   	 16.78   	 90.62   	-228.89		106.16   	 -61.04		  7.22   	  10.17		
 16.17   	 16.17   	 89.70   	-295.01		105.92   	 -61.04		  7.26   	  10.17		
 17.70   	 17.70   	 88.52   	-371.31		105.68   	 -71.21		  7.30   	   0.00		
 23.19   	 23.50   	 87.04   	-473.04		105.39   	 -81.38		  7.30   	   0.00		
 31.13   	 31.43   	 85.15   	-584.94		105.07   	 -96.64		  7.30   	  10.17		
 38.76   	 38.76   	 82.81   	-696.84		104.68   	-111.90		  7.34   	  20.35		
 43.33   	 43.03   	 80.02   	-824.00		104.23   	-127.16		  7.43   	  25.43		
 44.25   	 43.64   	 76.72   	-956.25		103.72   	-147.51		  7.53   	  40.69		
 42.11   	 41.50   	 72.90   	-1073.24		103.13   	-167.85		  7.69   	  45.78		
 38.15   	 37.84   	 68.61   	-1169.88		102.46   	-183.11		  7.87   	  20.35		
 34.79   	 34.79   	 63.93   	-1241.09		101.73   	-203.46		  7.96   	   5.09		
 32.65   	 32.96   	 58.96   	-1271.61		100.92   	-218.72		  7.98   	   5.09		
 33.26   	 33.57   	 53.88   	-1276.70		100.04   	-233.98		  8.00   	   0.00		
 35.71   	 35.71   	 48.77   	-1241.09		 99.10   	-244.15		  8.00(V)	   0.00		
 38.45   	 38.45   	 43.80   	-1190.23		 98.13   	-259.41		  8.00   	  -5.09		
 40.28   	 40.28   	 39.04   	-1108.85		 97.09   	-264.50		  7.98   	 -10.17		
 41.20   	 40.89   	 34.61   	-1012.20		 96.03   	-274.67		  7.93   	 -10.17		
 41.50   	 41.20   	 30.56   	-910.47		 94.93   	-279.75		  7.89   	 -20.35		
 41.50   	 41.20   	 26.92   	-793.49		 93.81   	-284.84		  7.81   	 -20.35		
 40.59   	 40.28   	 23.74   	-676.50		 92.68   	-284.84		  7.73   	 -15.26		
 38.76   	 38.76   	 21.04   	-564.60		 91.54   	-289.93		  7.67   	 -10.17		
 36.93   	 36.93   	 18.78   	-462.87		 90.38   	-289.93		  7.63   	 -10.17		
 36.01   	 36.01   	 16.93   	-376.40		 89.22   	-284.84		  7.59   	 -15.26		
 36.01   	 36.01   	 15.42   	-300.10		 88.08   	-279.75		  7.53   	 -25.43		
 36.01   	 35.40   	 14.22   	-239.06		 86.96   	-274.67		  7.43   	 -25.43		
 36.32   	 35.40   	 13.27   	-188.20		 85.86   	-259.41		  7.32   	 -20.35		
 36.93   	 36.01   	 12.51   	-152.59		 84.82   	-249.24		  7.24   	 -15.26		
 39.06   	 38.45   	 11.90   	-132.25		 83.82   	-233.98		  7.18   	 -15.26		
 41.81   	 41.81   	 11.37   	-116.99		 82.89   	-223.80		  7.12   	 -20.35		
 44.56   	 44.56   	 10.91   	-122.07		 81.99   	-203.46		  7.04   	 -30.52		
 46.08   	 46.08   	 10.42   	-127.16		 81.18   	-193.29		  6.92   	 -35.61		
 46.39   	 46.08   	  9.91   	-142.42		 80.41   	-183.11		  6.78   	 -45.78		
 45.78   	 45.17   	  9.34   	-162.77		 79.67   	-167.85		  6.59   	 -45.78		
 44.56   	 43.95   	  8.69   	-178.03		 79.00   	-157.68		  6.41   	 -55.95		
 42.72   	 42.42   	  7.98   	-193.29		 78.37   	-152.59		  6.19   	 -50.86		
 39.37   	 39.06   	  7.20   	-208.54		 77.76   	-142.42		  5.98   	 -45.78		
 35.71   	 35.40   	  6.37   	-213.63		 77.19   	-137.33		  5.80   	 -30.52		
 31.43   	 31.43   	  5.51   	-213.63		 76.64   	-127.16		  5.68   	 -25.43		
 27.77   	 27.77   	  4.66   	-213.63		 76.13   	-122.07		  5.57   	 -30.52		
 25.33   	 25.63   	  3.80   	-223.80		 75.65   	-116.99		  5.45   	 -20.35		
 24.41   	 24.72   	  2.91   	-208.54		 75.18   	-106.82		  5.37   	 -20.35		
 25.02   	 25.33   	  2.08   	-178.03		 74.75   	-106.82		  5.29   	 -10.17		
 25.02   	 25.33   	  1.36   	-142.42		 74.32   	 -91.56		  5.25   	  -5.09		
 23.50   	 23.50   	  0.79   	-101.73		 73.96   	 -91.56		  5.23   	   0.00		
 20.45   	 20.14   	  0.39   	 -61.04		 73.59   	 -86.47		  5.23   	  15.26		
 18.31   	 18.01   	  0.14   	 -15.26		 73.24   	 -76.30		  5.29   	  10.17		
 18.62   	 18.31   	  0.08(D)	  20.35		 72.94   	 -66.12		  5.33   	  10.17		
 21.06   	 20.75   	  0.16   	  66.12		 72.68   	 -66.12		  5.37   	   5.09		
 24.11   	 23.80   	  0.43   	  96.64		 72.41   	 -55.95		  5.39   	   5.09		
 25.02   	 24.41   	  0.81   	 122.07		 72.19   	 -55.95		  5.41   	  10.17		
 24.41   	 24.11   	  1.30   	 142.42		 71.96   	 -45.78		  5.45   	  10.17		
 23.50   	 23.19   	  1.87   	 147.51		 71.78   	 -45.78		  5.49   	  15.26		
 25.02   	 25.33   	  2.46   	 147.51		 71.60   	 -40.69		  5.55   	  10.17		
 30.21   	 30.52   	  3.05   	 142.42		 71.43   	 -35.61		  5.60   	  10.17		
 41.81   	 42.11   	  3.62   	 122.07		 71.29   	 -35.61		  5.64   	  10.17		
 61.34   	 61.65   	  4.11   	 106.82		 71.15   	 -35.61		  5.68   	  10.17		
 87.59   	 87.89   	  4.54   	  81.38		 71.01   	 -35.61		  5.72   	   5.09		
115.36   	115.66   	  4.86   	  61.04		 70.86   	 -35.61		  5.74   	   0.00		
138.85   	139.16   	  5.11   	  40.69		 70.72   	 -35.61		  5.74   	  -5.09		
153.50   	153.81   	  5.27   	  20.35		 70.58   	 -35.61		  5.72   	   5.09		
158.39   	158.69   	  5.35   	   0.00		 70.44   	 -35.61		  5.74   	  10.17		
156.25   	156.56   	  5.35   	  -5.09		 70.29   	 -40.69		  5.78   	  15.26		
149.54   	149.84   	  5.33   	 -15.26		 70.13   	 -40.69		  5.84   	  15.26		
139.47   	139.77   	  5.27   	 -15.26		 69.97   	 -45.78		  5.90   	 -10.17		
127.26   	127.56   	  5.21   	 -15.26		 69.79   	 -40.69		  5.86   	 -10.17		
113.53   	113.83   	  5.15   	 -10.17		 69.62   	 -45.78		  5.82   	   5.09		
 98.27   	 98.27   	  5.11   	   0.00		 69.44   	 -45.78		  5.84   	  20.35		
 82.09   	 82.09   	  5.11   	  10.17		 69.26   	 -50.86		  5.92   	  25.43		
 67.44   	 67.14   	  5.15   	  20.35		 69.05   	 -45.78		  6.02   	  35.61		
 55.54   	 54.93   	  5.23   	  35.61		 68.87   	 -50.86		  6.16   	  30.52		
 47.00   	 46.69   	  5.37   	  35.61		 68.67   	 -50.86		  6.29   	  20.35		
 37.84   	 37.84   	  5.51   	  45.78		 68.46   	 -50.86		  6.37   	  25.43		
 25.02   	 25.02   	  5.70   	  50.86		 68.26   	 -50.86		  6.47   	  40.69		
  8.54   	  8.85   	  5.90   	  50.86		 68.06   	 -50.86		  6.63   	  45.78		
 -7.63   	 -7.63   	  6.10   	  45.78		 67.85   	 -55.95		  6.82   	  55.95		
-18.31   	-18.62   	  6.29   	  40.69		 67.63   	 -50.86		  7.04   	  61.04		
