SAMPLE NUMBER:   24
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RRA     	  RRA'		
-14.95   	-85.45   	  9.73   	  35.61		 51.84   	 -30.52		
-10.07   	-89.72   	  9.87   	  40.69		 51.72   	 -30.52		
 -2.14   	-82.09   	 10.03   	  50.86		 51.60   	 -30.52		
  5.19   	-67.75   	 10.23   	  61.04		 51.47   	 -30.52		
  8.85   	-55.24   	 10.48   	  66.12		 51.35   	 -25.43		
 10.38   	-47.30   	 10.74   	  81.38		 51.25   	 -30.52		
 13.73   	-41.81   	 11.07   	  91.56		 51.13   	 -25.43		
 20.75   	-36.32   	 11.43   	 101.73		 51.03   	 -30.52		
 27.77   	-30.82   	 11.84   	 116.99		 50.91   	 -25.43		
 30.21   	-27.47   	 12.31   	 127.16		 50.80   	 -25.43		
 25.94   	-26.86   	 12.82   	 142.42		 50.70   	 -25.43		
 18.92   	-26.86   	 13.39   	 152.59		 50.60   	 -30.52		
 15.56   	-23.50   	 14.00   	 172.94		 50.48   	 -25.43		
 19.53   	-15.56   	 14.69   	 183.11		 50.38   	 -25.43		
 28.38   	 -5.80   	 15.42   	 198.37		 50.27   	 -30.52		
 34.48   	  0.92   	 16.22   	 208.54		 50.15   	 -25.43		
 33.87   	  2.44   	 17.05   	 223.80		 50.05   	 -30.52		
 27.77   	  0.61   	 17.94   	 233.98		 49.93   	 -30.52		
 21.36   	  0.00   	 18.88   	 239.06		 49.81   	 -30.52		
 19.23   	  2.44   	 19.84   	 244.15		 49.68   	 -30.52		
 21.36   	  7.93   	 20.81   	 244.15		 49.56   	 -35.61		
 24.41   	 14.95   	 21.79   	 249.24		 49.42   	 -30.52		
 24.72   	 21.06   	 22.79   	 244.15		 49.30   	 -30.52		
 22.89   	 26.25   	 23.76   	 239.06		 49.18   	 -30.52		
 22.58   	 32.96   	 24.72   	 239.06		 49.05   	 -30.52		
 25.94   	 41.81   	 25.68   	 228.89		 48.93   	 -30.52		
 30.52   	 50.96   	 26.59   	 223.80		 48.81   	 -30.52		
 32.96   	 58.29   	 27.49   	 213.63		 48.69   	 -30.52		
 31.13   	 63.48   	 28.34   	 203.46		 48.57   	 -25.43		
 27.47   	 68.05   	 29.16   	 198.37		 48.46   	 -30.52		
 26.25   	 73.55   	 29.95   	 188.20		 48.34   	 -30.52		
 28.99   	 79.96   	 30.70   	 178.03		 48.22   	 -30.52		
 34.48   	 87.28   	 31.41   	 172.94		 48.10   	 -25.43		
 38.45   	 93.38   	 32.11   	 167.85		 48.00   	 -25.43		
 40.59   	 98.88   	 32.78   	 152.59		 47.89   	 -20.35		
 42.11   	104.37   	 33.39   	 147.51		 47.81   	 -15.26		
 44.86   	109.25   	 33.98   	 137.33		 47.75   	  -5.09		
 47.30   	113.53   	 34.53   	 127.16		 47.73(D)	   5.09		
 49.13   	117.80   	 35.04   	 116.99		 47.75   	  20.35		
 50.35   	124.51   	 35.50   	 106.82		 47.83   	  30.52		
 52.80   	134.89   	 35.93   	  96.64		 47.96   	  50.86		
 56.15   	148.62   	 36.32   	  86.47		 48.16   	  76.30		
 60.12   	163.57   	 36.66   	  81.38		 48.46   	  91.56		
 62.56   	177.61   	 36.99   	  71.21		 48.83   	 122.07		
 63.48   	191.04   	 37.27   	  61.04		 49.32   	 142.42		
 63.78   	203.86   	 37.52   	  50.86		 49.89   	 162.77		
 64.39   	216.67   	 37.72   	  45.78		 50.54   	 193.29		
 64.39   	229.49   	 37.90   	  35.61		 51.31   	 208.54		
 64.39   	242.00   	 38.05   	  25.43		 52.15   	 233.98		
 63.17   	252.99   	 38.15   	  20.35		 53.08   	 254.32		
 61.34   	262.15   	 38.23   	  15.26		 54.10   	 269.58		
 60.12   	269.47   	 38.29   	  10.17		 55.18   	 284.84		
 60.42   	277.40   	 38.33(S)	   0.00		 56.32   	 300.10		
 63.17   	286.25   	 38.33   	   0.00		 57.52   	 310.27		
 67.44   	296.33   	 38.33   	  -5.09		 58.76   	 315.36		
 70.50   	304.87   	 38.31   	 -10.17		 60.02   	 325.53		
 70.80   	309.45   	 38.27   	  -5.09		 61.32   	 325.53		
 68.36   	308.84   	 38.25   	 -10.17		 62.62   	 330.62		
 65.31   	302.73   	 38.21   	 -15.26		 63.95   	 330.62		
 63.17   	290.53   	 38.15   	 -15.26		 65.27   	 320.45		
 61.04   	271.30   	 38.09   	 -15.26		 66.55   	 320.45		
 56.46   	243.84   	 38.03   	 -20.35		 67.83   	 310.27		
 49.44   	209.96   	 37.94   	 -25.43		 69.07   	 295.01		
 41.81   	173.03   	 37.84   	 -25.43		 70.25   	 289.93		
 34.79   	135.50   	 37.74   	 -30.52		 71.41   	 274.67		
 29.30   	 97.35   	 37.62   	 -25.43		 72.51   	 254.32		
 23.80   	 57.98   	 37.52   	 -35.61		 73.53   	 244.15		
 17.70   	 18.92   	 37.38   	 -30.52		 74.51   	 218.72		
 12.21   	-17.40   	 37.25   	 -30.52		 75.38   	 203.46		
  8.85   	-47.61   	 37.13   	 -30.52		 76.20   	 183.11		
  7.32   	-71.11   	 37.01   	 -35.61		 76.93   	 157.68		
  6.10   	-89.42   	 36.87   	 -30.52		 77.56   	 137.33		
  4.27   	-104.37   	 36.74   	 -30.52		 78.11   	 116.99		
  2.14   	-115.97   	 36.62   	 -30.52		 78.58   	  96.64		
  0.31   	-124.21   	 36.50   	 -35.61		 78.96   	  71.21		
 -1.22   	-130.00   	 36.36   	 -35.61		 79.25   	  55.95		
 -3.66   	-135.80   	 36.22   	 -40.69		 79.47   	  40.69		
 -6.41   	-141.60   	 36.05   	 -45.78		 79.63   	  20.35		
 -7.93   	-146.18   	 35.87   	 -55.95		 79.71   	   5.09		
 -6.71   	-148.93   	 35.65   	 -61.04		 79.74(S)	  -5.09		
 -3.66   	-150.15   	 35.40   	 -76.30		 79.71   	 -20.35		
 -0.92   	-151.06   	 35.10   	 -86.47		 79.63   	 -35.61		
  0.92   	-152.28   	 34.75   	-101.73		 79.49   	 -45.78		
  0.92   	-153.20   	 34.34   	-116.99		 79.31   	 -55.95		
  0.31   	-153.50   	 33.88   	-137.33		 79.08   	 -61.04		
 -0.92   	-153.50   	 33.33   	-152.59		 78.84   	 -76.30		
 -3.66   	-154.72   	 32.72   	-167.85		 78.53   	 -76.30		
 -7.02   	-157.47   	 32.04   	-178.03		 78.23   	 -86.47		
-10.38   	-160.22   	 31.33   	-183.11		 77.88   	 -91.56		
-13.12   	-161.13   	 30.60   	-188.20		 77.52   	 -96.64		
-14.95   	-159.91   	 29.85   	-188.20		 77.13   	 -96.64		
-14.95   	-156.25   	 29.09   	-183.11		 76.74   	-101.73		
-12.82   	-151.98   	 28.36   	-178.03		 76.34   	-106.82		
 -9.46   	-148.32   	 27.65   	-178.03		 75.91   	-106.82		
 -7.32   	-146.79   	 26.94   	-167.85		 75.48   	-106.82		
 -7.93   	-146.18   	 26.27   	-162.77		 75.06   	-111.90		
 -9.77   	-144.96   	 25.62   	-162.77		 74.61   	-111.90		
-10.99   	-142.52   	 24.96   	-162.77		 74.16   	-116.99		
 -9.77   	-139.16   	 24.31   	-162.77		 73.69   	-111.90		
 -5.49   	-136.11   	 23.66   	-167.85		 73.24   	-116.99		
 -0.61   	-134.89   	 22.99   	-167.85		 72.78   	-116.99		
  3.36   	-135.50   	 22.32   	-183.11		 72.31   	-116.99		
  5.80   	-136.11   	 21.59   	-183.11		 71.84   	-116.99		
  5.49   	-135.80   	 20.85   	-193.29		 71.37   	-122.07		
  2.44   	-135.50   	 20.08   	-198.37		 70.88   	-122.07		
 -1.83   	-135.19   	 19.29   	-208.54		 70.40   	-127.16		
 -4.88   	-134.58   	 18.45   	-208.54		 69.89   	-132.25		
 -6.10   	-133.67   	 17.62   	-213.63		 69.36   	-132.25		
 -5.80   	-132.45   	 16.76   	-208.54		 68.83   	-137.33		
 -5.19   	-130.62   	 15.93   	-208.54		 68.28   	-137.33		
 -5.80   	-129.09   	 15.10   	-198.37		 67.73   	-142.42		
 -7.93   	-129.09   	 14.30   	-193.29		 67.16   	-137.33		
-10.68   	-130.92   	 13.53   	-178.03		 66.61   	-142.42		
-11.60   	-133.67   	 12.82   	-162.77		 66.04   	-142.42		
-10.68   	-135.80   	 12.17   	-152.59		 65.47   	-137.33		
 -9.77   	-136.72   	 11.56   	-132.25		 64.92   	-142.42		
-12.21   	-137.33   	 11.03   	-122.07		 64.35   	-137.33		
-18.62   	-139.16   	 10.54   	-106.82		 63.80   	-132.25		
-27.16   	-141.60   	 10.11   	 -96.64		 63.28   	-137.33		
-33.26   	-143.43   	  9.73   	 -91.56		 62.73   	-127.16		
-33.57   	-141.30   	  9.36   	 -76.30		 62.22   	-132.25		
-28.99   	-135.80   	  9.05   	 -76.30		 61.69   	-122.07		
-22.89   	-130.00   	  8.75   	 -71.21		 61.20   	-116.99		
-19.23   	-125.73   	  8.46   	 -66.12		 60.73   	-106.82		
-20.14   	-125.12   	  8.20   	 -66.12		 60.30   	-106.82		
-24.72   	-127.56   	  7.93   	 -61.04		 59.88   	 -96.64		
-30.52   	-130.62   	  7.69   	 -66.12		 59.49   	 -91.56		
-33.26   	-131.23   	  7.43   	 -61.04		 59.12   	 -86.47		
-30.82   	-127.87   	  7.18   	 -55.95		 58.78   	 -76.30		
-24.41   	-121.46   	  6.96   	 -55.95		 58.47   	 -66.12		
-17.70   	-115.05   	  6.73   	 -50.86		 58.21   	 -61.04		
-15.26   	-113.22   	  6.53   	 -50.86		 57.97   	 -50.86		
-19.53   	-116.88   	  6.33   	 -40.69		 57.76   	 -45.78		
-26.86   	-124.51   	  6.16   	 -35.61		 57.58   	 -35.61		
-32.04   	-131.23   	  6.02   	 -25.43		 57.44   	 -35.61		
-31.74   	-133.36   	  5.92   	 -25.43		 57.29   	 -25.43		
-27.16   	-130.00   	  5.82   	 -15.26		 57.19   	 -15.26		
-21.97   	-123.29   	  5.76   	 -10.17		 57.13   	 -15.26		
-18.31   	-116.27   	  5.72   	 -10.17		 57.07   	 -10.17		
-17.40   	-111.69   	  5.68   	  -5.09		 57.03   	  -5.09		
-18.01   	-110.78   	  5.66   	   0.00		 57.01   	   0.00		
-20.14   	-112.92   	  5.66   	   0.00		 57.01   	   0.00		
-23.19   	-115.97   	  5.66   	   0.00		 57.01   	   5.09		
-26.25   	-117.19   	  5.66   	   5.09		 57.03   	   5.09		
-27.77   	-115.97   	  5.68   	   0.00		 57.05   	  10.17		
-27.16   	-113.83   	  5.68   	   0.00		 57.09   	   5.09		
-25.02   	-112.30   	  5.68   	   5.09		 57.11   	  10.17		
-22.58   	-111.69   	  5.70   	   0.00		 57.15   	  10.17		
-20.75   	-111.39   	  5.70   	  -5.09		 57.19   	  10.17		
-18.62   	-109.56   	  5.68   	   0.00		 57.23   	  10.17		
-15.56   	-106.20   	  5.68   	  -5.09		 57.27   	  10.17		
-10.68   	-102.84   	  5.66   	   0.00		 57.31   	   5.09		
 -5.49   	-101.32   	  5.66   	  -5.09		 57.33   	   5.09		
 -1.22   	-101.62   	  5.64   	  -5.09		 57.35   	   0.00		
  0.31   	-102.84   	  5.62   	  -5.09		 57.35   	   0.00		
 -0.61   	-103.45   	  5.60   	   0.00		 57.35   	  -5.09		
 -2.14   	-101.32   	  5.60   	  -5.09		 57.33   	  -5.09		
 -0.92   	-95.52   	  5.57(D)	   0.00		 57.31   	 -10.17		
  5.80   	-85.45   	  5.57   	   0.00		 57.27   	 -10.17		
 18.92   	-70.80   	  5.57   	   0.00		 57.23   	 -15.26		
 36.62   	-52.49   	  5.57   	   5.09		 57.17   	 -15.26		
 53.71   	-32.65   	  5.60   	   0.00		 57.11   	 -20.35		
 65.31   	-12.51   	  5.60   	   5.09		 57.03   	 -20.35		
 71.41   	  7.02   	  5.62   	   5.09		 56.95   	 -20.35		
 74.77   	 24.41   	  5.64   	   5.09		 56.87   	 -25.43		
 80.26   	 37.23   	  5.66   	   5.09		 56.76   	 -25.43		
 87.89   	 41.50   	  5.68   	   0.00		 56.66   	 -30.52		
 93.38   	 35.10   	  5.68   	   5.09		 56.54   	 -25.43		
 90.64   	 20.45   	  5.70   	   5.09		 56.44   	 -35.61		
 79.35   	  1.83   	  5.72   	  10.17		 56.30   	 -30.52		
 63.48   	-17.40   	  5.76   	   5.09		 56.17   	 -35.61		
 49.44   	-36.93   	  5.78   	   5.09		 56.03   	 -40.69		
 40.59   	-58.90   	  5.80   	   5.09		 55.87   	 -35.61		
 35.71   	-83.62   	  5.82   	   5.09		 55.73   	 -40.69		
 30.82   	-107.42   	  5.84   	   5.09		 55.56   	 -40.69		
 22.58   	-125.43   	  5.86   	  10.17		 55.40   	 -40.69		
  9.77   	-134.89   	  5.90   	   5.09		 55.24   	 -45.78		
 -6.10   	-137.94   	  5.92   	  10.17		 55.06   	 -40.69		
-23.50   	-139.77   	  5.96   	   5.09		 54.89   	 -40.69		
-39.67   	-143.74   	  5.98   	  10.17		 54.73   	 -40.69		
-50.96   	-147.71   	  6.02   	  10.17		 54.57   	 -40.69		
-54.63   	-148.01   	  6.06   	   5.09		 54.40   	 -40.69		
-51.57   	-143.13   	  6.08   	   5.09		 54.24   	 -40.69		
-46.39   	-135.50   	  6.10   	  10.17		 54.08   	 -40.69		
-43.64   	-130.31   	  6.14   	   5.09		 53.92   	 -35.61		
-44.25   	-128.17   	  6.16   	   5.09		 53.77   	 -40.69		
-45.78   	-127.56   	  6.19   	   5.09		 53.61   	 -35.61		
-45.78   	-125.43   	  6.21   	   5.09		 53.47   	 -40.69		
-44.56   	-122.07   	  6.23   	   5.09		 53.31   	 -35.61		
-43.64   	-123.90   	  6.25   	  10.17		 53.16   	 -35.61		
-40.28   	-134.89   	  6.29   	   5.09		 53.02   	 -35.61		
-26.55   	-150.45   	  6.31   	   5.09		 52.88   	 -35.61		
  3.05   	-154.42   	  6.33   	   5.09		 52.74   	 -40.69		
 48.83   	-124.51   	  6.35   	   5.09		 52.57   	 -30.52		
106.81   	-38.15   	  6.37   	  10.17		 52.45   	 -35.61		
171.81   	118.10   	  6.41   	   5.09		 52.31   	 -35.61		
232.24   	345.46   	  6.43   	  10.17		 52.17   	 -35.61		
262.76   	628.05   	  6.47   	  10.17		 52.02   	 -30.52		
226.44   	921.02   	  6.51   	  20.35		 51.90   	 -61.04		
-103.45   	1169.13(R)	  6.59(E)	  10.17		 51.66   	 -35.61		
-321.96   	931.40   	  6.63   	  10.17		 51.52   	 -25.43		
-482.79   	447.08   	  6.67   	  10.17		 51.41   	 -30.52		
-541.69   	-140.08   	  6.71   	  15.26		 51.29   	 -30.52		
-513.61   	-629.88   	  6.78   	  10.17		 51.17   	 -30.52		
-452.58   	-884.09   	  6.82   	  15.26		 51.05   	 -30.52		
-405.88   	-899.96   	  6.88   	  10.17		 50.93   	 -25.43		
-383.61   	-784.00   	  6.92   	  10.17		 50.82   	 -25.43		
-361.33   	-652.16   	  6.96   	  15.26		 50.72   	 -25.43		
-309.75   	-549.01   	  7.02   	  15.26		 50.62   	 -20.35		
-223.39   	-452.88   	  7.08   	  20.35		 50.54   	 -25.43		
-124.82   	-333.25   	  7.16   	  20.35		 50.44   	 -25.43		
-43.64   	-198.06   	  7.24   	  25.43		 50.34   	 -30.52		
  3.36   	-85.45   	  7.34   	  30.52		 50.21   	 -35.61		
 19.53   	-26.25   	  7.47   	  30.52		 50.07   	 -35.61		
 21.06   	-15.87   	  7.59   	  35.61		 49.93   	 -45.78		
 22.58   	-25.63   	  7.73   	  45.78		 49.75   	 -45.78		
 28.69   	-30.82   	  7.91   	  55.95		 49.56   	 -45.78		
 34.79   	-26.25   	  8.14   	  71.21		 49.38   	 -40.69		
 34.48   	-19.53   	  8.42   	  76.30		 49.22   	 -40.69		
 26.55   	-17.70   	  8.73   	  91.56		 49.05   	 -30.52		
 14.95   	-21.06   	  9.09   	 101.73		 48.93   	 -20.35		
  5.49   	-24.41   	  9.50   	 122.07		 48.85   	 -20.35		
  0.61   	-24.41   	  9.99   	 137.33		 48.77   	 -15.26		
  0.31   	-21.06   	 10.54   	 157.68		 48.71   	 -10.17		
  2.75   	-16.78   	 11.17   	 172.94		 48.67   	 -15.26		
  7.93   	-11.60   	 11.86   	 198.37		 48.61   	 -15.26		
 17.09   	 -3.36   	 12.66   	 203.46		 48.55   	 -20.35		
 29.30   	  9.46   	 13.47   	 223.80		 48.46   	 -25.43		
 41.20   	 23.19   	 14.36   	 223.80		 48.36   	 -25.43		
 48.83   	 33.26   	 15.26   	 239.06		 48.26   	 -30.52		
 50.35   	 35.71   	 16.22   	 239.06		 48.14   	 -35.61		
 46.69   	 30.82   	 17.17   	 249.24		 48.00   	 -35.61		
 42.42   	 23.19   	 18.17   	 254.32		 47.85   	 -35.61		
 42.42   	 20.14   	 19.19   	 259.41		 47.71   	 -35.61		
 48.22   	 24.11   	 20.22   	 254.32		 47.57   	 -35.61		
 54.32   	 32.04   	 21.24   	 254.32		 47.43   	 -35.61		
 55.54   	 39.67   	 22.26   	 254.32		 47.28   	 -30.52		
 49.44   	 44.25   	 23.28   	 239.06		 47.16   	 -30.52		
 39.98   	 47.61   	 24.23   	 239.06		 47.04   	 -30.52		
 33.57   	 53.71   	 25.19   	 233.98		 46.92   	 -25.43		
 35.40   	 65.61   	 26.12   	 223.80		 46.82   	 -20.35		
 45.17   	 81.79   	 27.02   	 218.72		 46.73   	 -25.43		
 59.51   	 99.79   	 27.89   	 208.54		 46.63   	 -20.35		
 74.16   	116.88   	 28.73   	 203.46		 46.55   	 -20.35		
 85.75   	130.31   	 29.54   	 188.20		 46.47   	 -25.43		
 90.94   	138.24   	 30.29   	 178.03		 46.37   	 -20.35		
 90.33   	140.08   	 31.01   	 178.03		 46.29   	 -25.43		
 86.36   	137.63   	 31.72   	 162.77		 46.18   	 -25.43		
 83.92   	133.97   	 32.37   	 162.77		 46.08   	 -30.52		
 85.45   	132.45   	 33.02   	 152.59		 45.96   	 -25.43		
 89.11   	133.36   	 33.63   	 142.42		 45.86   	 -25.43		
 90.64   	135.80   	 34.20   	 137.33		 45.76   	 -20.35		
 87.28   	139.16   	 34.75   	 132.25		 45.68   	 -10.17		
 80.87   	144.65   	 35.28   	 116.99		 45.64   	  -5.09		
 75.07   	153.50   	 35.75   	 116.99		 45.62(D)	  10.17		
 72.63   	166.32   	 36.22   	 101.73		 45.66   	  30.52		
 72.94   	181.27   	 36.62   	  91.56		 45.78   	  45.78		
 74.46   	197.45   	 36.99   	  81.38		 45.96   	  66.12		
 77.21   	213.93   	 37.31   	  76.30		 46.23   	  91.56		
 82.40   	231.02   	 37.62   	  61.04		 46.59   	 111.90		
 90.33   	248.72   	 37.86   	  55.95		 47.04   	 137.33		
 99.49   	266.42   	 38.09   	  40.69		 47.59   	 157.68		
106.20   	281.07   	 38.25   	  35.61		 48.22   	 172.94		
109.56   	292.05   	 38.39   	  30.52		 48.91   	 198.37		
110.47   	299.68   	 38.51   	  20.35		 49.70   	 213.63		
111.39   	305.79   	 38.60   	  20.35		 50.56   	 228.89		
112.61   	311.89   	 38.68   	  10.17		 51.47   	 244.15		
113.22   	319.21   	 38.72   	  15.26		 52.45   	 259.41		
111.39   	327.76   	 38.78   	   5.09		 53.49   	 269.58		
107.42   	336.91   	 38.80   	   5.09		 54.57   	 284.84		
102.23   	344.54   	 38.82(S)	   0.00		 55.71   	 284.84		
 97.05   	348.21   	 38.82   	   0.00		 56.85   	 295.01		
 92.16   	346.37   	 38.82   	   0.00		 58.03   	 295.01		
 87.89   	338.13   	 38.82   	  -5.09		 59.21   	 295.01		
 83.62   	323.18   	 38.80   	  -5.09		 60.39   	 295.01		
 77.51   	301.21   	 38.78   	 -10.17		 61.57   	 289.93		
 69.58   	271.30   	 38.74   	 -15.26		 62.73   	 289.93		
 60.12   	234.99   	 38.68   	 -10.17		 63.89   	 274.67		
 52.49   	195.31   	 38.64   	 -15.26		 64.98   	 274.67		
 47.61   	155.94   	 38.58   	 -20.35		 66.08   	 259.41		
 44.25   	117.19   	 38.49   	 -15.26		 67.12   	 244.15		
 38.76   	 79.04   	 38.43   	 -20.35		 68.10   	 239.06		
 29.60   	 43.03   	 38.35   	 -15.26		 69.05   	 223.80		
 18.92   	 10.99   	 38.29   	 -20.35		 69.95   	 208.54		
 10.07   	-15.26   	 38.21   	 -20.35		 70.78   	 193.29		
  4.58   	-35.71   	 38.13   	 -15.26		 71.56   	 172.94		
  2.44   	-51.27   	 38.07   	 -25.43		 72.25   	 157.68		
  1.53   	-63.48   	 37.97   	 -20.35		 72.88   	 142.42		
  0.92   	-72.33   	 37.88   	 -25.43		 73.45   	 116.99		
 -0.31   	-78.43   	 37.78   	 -30.52		 73.92   	 106.82		
 -3.97   	-83.62   	 37.66   	 -30.52		 74.34   	  86.47		
-10.07   	-89.42   	 37.54   	 -30.52		 74.69   	  66.12		
-16.78   	-95.52   	 37.42   	 -40.69		 74.95   	  55.95		
-20.45   	-99.49   	 37.25   	 -40.69		 75.18   	  35.61		
-18.31   	-100.10   	 37.09   	 -45.78		 75.32   	  20.35		
-11.90   	-97.96   	 36.91   	 -55.95		 75.40   	   5.09		
 -5.49   	-95.83   	 36.68   	 -55.95		 75.42(S)	  -5.09		
 -3.36   	-96.13   	 36.46   	 -66.12		 75.40   	 -15.26		
 -6.10   	-98.88   	 36.20   	 -76.30		 75.34   	 -30.52		
-11.90   	-103.76   	 35.89   	 -86.47		 75.22   	 -35.61		
-18.01   	-109.25   	 35.54   	-106.82		 75.08   	 -50.86		
-21.67   	-114.44   	 35.12   	-116.99		 74.87   	 -61.04		
-22.58   	-117.49   	 34.65   	-137.33		 74.63   	 -66.12		
-21.67   	-118.41   	 34.10   	-162.77		 74.36   	 -71.21		
-20.75   	-117.49   	 33.45   	-183.11		 74.08   	 -81.38		
-19.84   	-115.97   	 32.72   	-208.54		 73.75   	 -81.38		
-18.92   	-114.14   	 31.88   	-233.98		 73.43   	 -91.56		
-17.70   	-113.22   	 30.95   	-254.32		 73.06   	 -91.56		
-17.40   	-114.14   	 29.93   	-274.67		 72.70   	 -96.64		
-17.70   	-116.27   	 28.83   	-289.93		 72.31   	 -96.64		
-17.40   	-117.49   	 27.67   	-305.19		 71.92   	-101.73		
-15.56   	-115.97   	 26.45   	-315.36		 71.52   	-106.82		
-11.29   	-110.17   	 25.19   	-315.36		 71.09   	-106.82		
 -6.10   	-102.23   	 23.93   	-320.45		 70.66   	-106.82		
 -3.66   	-95.21   	 22.64   	-320.45		 70.23   	-111.90		
 -4.27   	-91.55   	 21.36   	-315.36		 69.79   	-111.90		
 -6.41   	-90.33   	 20.10   	-300.10		 69.34   	-122.07		
 -6.41   	-89.72   	 18.90   	-295.01		 68.85   	-116.99		
 -3.05   	-88.81   	 17.72   	-284.84		 68.38   	-127.16		
  1.53   	-87.59   	 16.58   	-269.58		 67.87   	-127.16		
  5.19   	-86.36   	 15.50   	-259.41		 67.36   	-127.16		
  6.10   	-85.14   	 14.47   	-244.15		 66.86   	-137.33		
  5.19   	-84.23   	 13.49   	-228.89		 66.31   	-132.25		
  3.05   	-84.84   	 12.57   	-213.63		 65.78   	-142.42		
  0.92   	-87.59   	 11.72   	-198.37		 65.21   	-137.33		
 -1.22   	-92.77   	 10.93   	-193.29		 64.66   	-142.42		
 -3.36   	-98.27   	 10.15   	-172.94		 64.09   	-142.42		
 -3.97   	-101.93   	  9.46   	-162.77		 63.52   	-142.42		
 -3.97   	-103.15   	  8.81   	-152.59		 62.95   	-142.42		
 -3.66   	-102.23   	  8.20   	-142.42		 62.38   	-142.42		
 -2.75   	-99.49   	  7.63   	-127.16		 61.81   	-137.33		
 -1.53   	-96.13   	  7.12   	-116.99		 61.26   	-137.33		
 -0.61   	-94.60   	  6.65   	-106.82		 60.71   	-132.25		
 -1.22   	-94.60   	  6.23   	 -91.56		 60.18   	-127.16		
 -3.36   	-95.52   	  5.86   	 -86.47		 59.67   	-122.07		
 -5.80   	-96.13   	  5.51   	 -71.21		 59.19   	-122.07		
 -6.10   	-95.21   	  5.23   	 -66.12		 58.70   	-116.99		
 -3.36   	-93.38   	  4.96   	 -50.86		 58.23   	-111.90		
  1.22   	-91.55   	  4.76   	 -40.69		 57.78   	-106.82		
  5.49   	-90.33   	  4.60   	 -35.61		 57.35   	 -96.64		
  8.54   	-88.81   	  4.46   	 -25.43		 56.97   	 -91.56		
 10.07   	-86.98   	  4.35   	 -15.26		 56.60   	 -86.47		
 10.99   	-85.75   	  4.29   	  -5.09		 56.26   	 -81.38		
 12.21   	-85.75   	  4.27   	  -5.09		 55.93   	 -71.21		
 13.43   	-86.98   	  4.25(D)	  10.17		 55.65   	 -66.12		
 12.51   	-88.20   	  4.29   	  10.17		 55.38   	 -61.04		
  9.16   	-89.42   	  4.33   	  20.35		 55.14   	 -50.86		
  2.75   	-91.86   	  4.42   	  20.35		 54.93   	 -45.78		
 -3.66   	-95.52   	  4.50   	  20.35		 54.75   	 -35.61		
 -5.80   	-98.88   	  4.58   	  25.43		 54.61   	 -30.52		
 -2.75   	-98.88   	  4.68   	  25.43		 54.49   	 -25.43		
  2.75   	-96.13   	  4.78   	  20.35		 54.38   	 -20.35		
  5.49   	-93.69   	  4.86   	  20.35		 54.30   	 -15.26		
  3.97   	-93.99   	  4.94   	  20.35		 54.24   	  -5.09		
  1.83   	-96.13   	  5.03   	  15.26		 54.22   	  -5.09		
  3.05   	-97.96   	  5.09   	  15.26		 54.20   	  -5.09		
  7.93   	-98.57   	  5.15   	  10.17		 54.18   	   0.00		
 12.21   	-99.18   	  5.19   	   5.09		 54.18   	   0.00		
 11.60   	-101.01   	  5.21   	   0.00		 54.18   	   5.09		
  7.02   	-103.15   	  5.21   	   0.00		 54.20   	   0.00		
  2.14   	-104.37   	  5.21   	  -5.09		 54.20   	   5.09		
  0.92   	-103.15   	  5.19   	  -5.09		 54.22   	   5.09		
  2.14   	-100.40   	  5.17   	  -5.09		 54.24   	   0.00		
  3.97   	-98.27   	  5.15   	  -5.09		 54.24   	   5.09		
  3.66   	-96.74   	  5.13   	  -5.09		 54.26   	   5.09		
  0.92   	-96.74   	  5.11   	  -5.09		 54.28   	   0.00		
 -3.05   	-96.74   	  5.09   	   0.00		 54.28   	   5.09		
 -5.80   	-95.52   	  5.09   	   0.00		 54.30   	   0.00		
 -4.27   	-90.94   	  5.09   	   5.09		 54.30   	   5.09		
  1.53   	-84.23   	  5.11   	   5.09		 54.32   	   0.00		
  8.54   	-78.13   	  5.13   	   5.09		 54.32   	   0.00		
 12.21   	-76.60   	  5.15   	  15.26		 54.32   	   0.00		
 10.68   	-79.96   	  5.21   	  15.26		 54.32   	  -5.09		
  6.41   	-84.53   	  5.27   	  15.26		 54.30   	  -5.09		
  3.66   	-86.36   	  5.33   	  20.35		 54.28   	 -10.17		
  4.88   	-85.14   	  5.41   	  20.35		 54.24   	 -10.17		
  7.93   	-83.62   	  5.49   	  25.43		 54.20   	 -10.17		
  9.77   	-83.92   	  5.60   	  20.35		 54.16   	 -15.26		
 10.68   	-83.31   	  5.68   	  20.35		 54.10   	 -15.26		
 13.73   	-77.82   	  5.76   	  20.35		 54.04   	 -20.35		
 21.36   	-65.61   	  5.84   	  15.26		 53.96   	 -15.26		
 34.18   	-49.44   	  5.90   	  20.35		 53.90   	 -25.43		
 48.52   	-32.35   	  5.98   	  10.17		 53.79   	 -20.35		
 61.34   	-15.26   	  6.02   	  15.26		 53.71   	 -25.43		
 71.41   	  3.05   	  6.08   	  10.17		 53.61   	 -25.43		
 79.35   	 23.19   	  6.12   	   5.09		 53.51   	 -30.52		
