SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		  SVC     	  SVC'		
145.26   	-21.67   	 45.86   	  30.52		 62.91   	 157.68		  1.71   	 -10.17		
142.82   	-14.34   	 45.98   	  55.95		 63.54   	 157.68		  1.67   	  -5.09		
138.55   	 -7.93   	 46.21   	  81.38		 64.17   	 178.03		  1.65   	 -10.17		
132.14   	 -3.05   	 46.53   	 122.07		 64.88   	 183.11		  1.61   	  -5.09		
123.29   	  0.61   	 47.02   	 162.77		 65.62   	 162.77		  1.59   	 -10.17		
113.53   	  3.66   	 47.67   	 213.63		 66.27   	 142.42		  1.55   	  -5.09		
103.15   	  7.32   	 48.52   	 249.24		 66.84   	 127.16		  1.53   	  -5.09		
 92.77   	 10.99   	 49.52   	 289.93		 67.34   	 106.82		  1.51   	   0.00		
 82.09   	 14.65   	 50.68   	 315.36		 67.77   	  86.47		  1.51   	   0.00		
 71.41   	 17.70   	 51.94   	 325.53		 68.12   	  86.47		  1.51   	   5.09		
 61.04   	 19.53   	 53.24   	 320.45		 68.46   	  81.38		  1.53   	   5.09		
 51.88   	 19.23   	 54.53   	 295.01		 68.79   	  71.21		  1.55   	  10.17		
 43.64   	 17.40   	 55.71   	 269.58		 69.07   	  66.12		  1.59   	  10.17		
 36.32   	 12.51   	 56.79   	 228.89		 69.34   	  66.12		  1.63   	  10.17		
 29.91   	  4.58   	 57.70   	 188.20		 69.60   	  50.86		  1.67   	  10.17		
 23.80   	 -5.80   	 58.45   	 152.59		 69.81   	  45.78		  1.71   	  15.26		
 17.70   	-17.70   	 59.06   	 116.99		 69.99   	  30.52		  1.77   	  20.35		
 11.29   	-29.91   	 59.53   	  91.56		 70.11(S)	 -25.43		  1.85   	  15.26		
 -0.31   	-52.49   	 59.90   	  96.64		 70.01   	 -71.21		  1.91   	  20.35		
 -3.97   	-61.34   	 60.28   	 106.82		 69.73   	-111.90		  1.99   	  15.26		
 -5.49   	-68.05   	 60.71   	 127.16		 69.28   	-147.51		  2.05   	  20.35		
 -6.10   	-72.94   	 61.22   	 147.51		 68.69   	-198.37		  2.14   	  15.26		
 -6.41   	-76.60   	 61.81   	 178.03		 67.89   	-233.98		  2.20   	  15.26		
 -7.63   	-79.96   	 62.52   	 198.37		 66.96   	-259.41		  2.26   	  15.26		
 -9.77   	-83.01   	 63.32   	 223.80		 65.92   	-284.84		  2.32   	  10.17		
-11.90   	-84.84   	 64.21   	 228.89		 64.78   	-315.36		  2.36   	  15.26		
-13.12   	-84.84   	 65.13   	 228.89		 63.52   	-335.71		  2.42   	  10.17		
-13.12   	-83.62   	 66.04   	 223.80		 62.18   	-361.14		  2.46   	  15.26		
-12.51   	-81.79   	 66.94   	 203.46		 60.73   	-391.66		  2.52   	  10.17		
-12.51   	-80.57   	 67.75   	 178.03		 59.17   	-427.26		  2.56   	  10.17		
-13.12   	-80.57   	 68.46   	 147.51		 57.46   	-467.95		  2.60   	  10.17		
-14.34   	-79.96   	 69.05   	 116.99		 55.58   	-513.73		  2.64   	  15.26		
-15.56   	-78.43   	 69.52   	  86.47		 53.53   	-569.68		  2.71   	  15.26		
-15.56   	-75.07   	 69.87   	  55.95		 51.25   	-605.29		  2.77   	  20.35		
-14.34   	-71.11   	 70.09   	  30.52		 48.83   	-620.55		  2.85   	  25.43		
-12.51   	-67.44   	 70.21   	  20.35		 46.35   	-620.55		  2.95   	  25.43		
-10.68   	-65.00   	 70.29   	   5.09		 43.87   	-615.46		  3.05   	  25.43		
-10.07   	-63.17   	 70.32   	   5.09		 41.40   	-590.03		  3.15   	  25.43		
-10.38   	-61.34   	 70.34(S)	  -5.09		 39.04   	-559.51		  3.26   	  20.35		
-10.68   	-57.98   	 70.32   	   0.00		 36.81   	-523.90		  3.34   	  20.35		
-10.68   	-52.80   	 70.32   	   0.00		 34.71   	-478.13		  3.42   	  10.17		
 -9.46   	-44.25   	 70.32   	   5.09		 32.80   	-437.43		  3.46   	   5.09		
 -8.24   	-29.30   	 70.34   	  -5.09		 31.05   	-396.74		  3.48   	   5.09		
 -8.24   	 -4.88   	 70.32   	  -5.09		 29.46   	-381.48		  3.50   	  10.17		
 -9.77   	 27.47   	 70.29   	 -20.35		 27.93   	-371.31		  3.54   	   0.00		
-12.51   	 61.95   	 70.21   	 -40.69		 26.45   	-366.22		  3.54   	   0.00		
-15.26   	 90.33   	 70.05   	 -55.95		 24.98   	-366.22		  3.54   	   5.09		
-15.87   	106.81   	 69.83   	 -76.30		 23.52   	-386.57		  3.56   	   0.00		
-13.43   	115.36   	 69.52   	 -96.64		 21.97   	-386.57		  3.56   	   5.09		
 -8.54   	125.12   	 69.14   	-122.07		 20.43   	-391.66		  3.58   	   5.09		
 -3.66   	144.35   	 68.65   	-132.25		 18.86   	-391.66		  3.60   	  10.17		
 -0.61   	174.87   	 68.12   	-152.59		 17.29   	-391.66		  3.64   	   5.09		
  0.00   	208.44   	 67.51   	-157.68		 15.73   	-371.31		  3.66   	   5.09		
 -0.31   	232.54   	 66.88   	-183.11		 14.24   	-371.31		  3.68   	  10.17		
  5.80   	220.03   	 66.14   	-183.11		 12.76   	-335.71		  3.72   	  10.17		
 13.43   	184.94   	 65.41   	-167.85		 11.41   	-300.10		  3.76   	   5.09		
 21.97   	138.85   	 64.74   	-157.68		 10.21   	-259.41		  3.78   	   5.09		
 28.38   	 89.72   	 64.11   	-147.51		  9.18   	-233.98		  3.80   	   5.09		
 31.13   	 41.50   	 63.52   	-132.25		  8.24   	-198.37		  3.83   	   0.00		
 29.60   	 -5.19   	 62.99   	-111.90		  7.45   	-178.03		  3.83   	   0.00		
 23.80   	-50.35   	 62.54   	 -96.64		  6.73   	-157.68		  3.83   	   5.09		
 14.04   	-92.47   	 62.16   	 -81.38		  6.10   	-137.33		  3.85   	   0.00		
  2.14   	-128.17   	 61.83   	 -66.12		  5.55   	-127.16		  3.85   	   5.09		
 -8.85   	-152.59   	 61.57   	 -61.04		  5.05   	-106.82		  3.87   	   5.09		
-15.56   	-163.57   	 61.32   	 -55.95		  4.62   	 -91.56		  3.89   	  10.17		
-17.40   	-164.79   	 61.10   	 -61.04		  4.25   	 -61.04		  3.93   	  15.26		
-16.17   	-162.35   	 60.85   	 -66.12		  4.01   	 -50.86		  3.99   	  10.17		
-14.04   	-161.44   	 60.59   	 -76.30		  3.80   	 -30.52		  4.03   	  20.35		
-13.43   	-162.66   	 60.28   	 -86.47		  3.68   	 -15.26		  4.11   	  20.35		
-14.04   	-163.57   	 59.94   	 -91.56		  3.62   	   0.00		  4.19   	  20.35		
-14.95   	-162.35   	 59.57   	 -96.64		  3.62   	   5.09		  4.27   	  20.35		
-15.87   	-158.39   	 59.19   	-106.82		  3.64   	   5.09		  4.35   	  25.43		
-16.78   	-153.81   	 58.76   	-106.82		  3.66   	   5.09		  4.46   	  25.43		
-18.01   	-149.54   	 58.33   	-106.82		  3.68   	   0.00		  4.56   	  25.43		
-19.84   	-147.71   	 57.90   	-101.73		  3.68   	 -10.17		  4.66   	  25.43		
-23.50   	-150.45   	 57.50   	 -91.56		  3.64   	 -20.35		  4.76   	  25.43		
-28.99   	-159.00   	 57.13   	 -91.56		  3.56   	 -35.61		  4.86   	  25.43		
-31.74   	-170.90   	 56.76   	 -76.30		  3.42   	 -45.78		  4.96   	  25.43		
-22.89   	-177.61   	 56.46   	 -71.21		  3.23   	 -66.12		  5.07   	  20.35		
 55.24   	-117.19   	 56.17   	 -71.21		  2.97   	 -71.21		  5.15   	  15.26		
111.08   	-37.84   	 55.89   	 -61.04		  2.69   	 -61.04		  5.21   	  20.35		
138.85   	 54.32   	 55.65   	 -55.95		  2.44   	 -45.78		  5.29   	  10.17		
102.84   	126.34   	 55.42   	 -61.04		  2.26   	 -10.17		  5.33   	   5.09		
-12.82   	150.76   	 55.18   	 -55.95		  2.22(D)	  30.52		  5.35   	   0.00		
-193.48   	121.77   	 54.95   	 -61.04		  2.34   	  81.38		  5.35(A)	   0.00		
-395.81   	 47.91   	 54.71   	 -66.12		  2.67   	 122.07		  5.35   	 -10.17		
-567.02   	-55.54   	 54.45   	 -66.12		  3.15   	 157.68		  5.31   	  -5.09		
-671.69   	-180.97   	 54.18   	 -61.04		  3.78   	 178.03		  5.29   	 -15.26		
-704.35   	-320.43   	 53.94   	 -66.12		  4.50   	 172.94		  5.23   	 -15.26		
-676.27   	-454.41   	 53.67   	 -66.12		  5.19   	 162.77		  5.17   	 -20.35		
-601.20   	-551.45   	 53.41   	 -66.12		  5.84   	 142.42		  5.09   	 -15.26		
-491.64   	-583.80(R)	 53.14   	 -55.95		  6.41(E)	 111.90		  5.03   	 -20.35		
-356.45   	-544.43   	 52.92   	 -55.95		  6.86   	  66.12		  4.94   	 -20.35		
-210.27   	-449.83   	 52.70   	 -50.86		  7.12   	  30.52		  4.86   	 -20.35		
-78.13   	-329.28   	 52.49   	 -50.86		  7.24   	   5.09		  4.78   	 -20.35		
 14.34   	-212.40   	 52.29   	 -50.86		  7.26   	 -15.26		  4.70   	 -15.26		
 56.46   	-124.82   	 52.09   	 -40.69		  7.20   	 -30.52		  4.64   	 -20.35		
 58.29   	-83.01   	 51.92   	 -45.78		  7.08   	 -35.61		  4.56   	 -25.43		
 42.72   	-85.45   	 51.74   	 -40.69		  6.94   	   0.00		  4.46   	 -20.35		
 30.82   	-110.78   	 51.58   	 -40.69		  6.94   	  50.86		  4.37   	 -20.35		
 32.35   	-131.23   	 51.41   	 -40.69		  7.14   	 127.16		  4.29   	 -20.35		
 42.72   	-130.62   	 51.25   	 -40.69		  7.65   	 274.67		  4.21   	 -20.35		
 53.10   	-112.30   	 51.09   	 -40.69		  8.75   	 417.09		  4.13   	 -20.35		
 57.98   	-91.86   	 50.93   	 -45.78		 10.42   	 625.63		  4.05   	 -25.43		
 57.37   	-79.96   	 50.74   	 -45.78		 12.92   	 630.72		  3.95   	 -15.26		
 57.07   	-81.18   	 50.56   	 -40.69		 15.44   	 539.16		  3.89   	 -15.26		
 58.29   	-79.96   	 50.40   	 -45.78		 17.60   	 452.69		  3.83   	 -10.17		
 59.81   	-76.60   	 50.21   	 -40.69		 19.41   	 412.00		  3.78   	   0.00		
 61.65   	-72.63   	 50.05   	 -40.69		 21.06   	 396.74		  3.78   	   5.09		
 62.87   	-68.05   	 49.89   	 -35.61		 22.64   	 401.83		  3.80   	   5.09		
 64.39   	-62.87   	 49.75   	 -35.61		 24.25   	 417.09		  3.83   	  10.17		
 66.22   	-56.46   	 49.60   	 -40.69		 25.92   	 478.13		  3.87   	  10.17		
 68.05   	-49.74   	 49.44   	 -30.52		 27.83   	 534.08		  3.91   	   5.09		
 69.89   	-43.03   	 49.32   	 -35.61		 29.97   	 590.03		  3.93   	   5.09		
 71.41   	-36.32   	 49.18   	 -35.61		 32.33   	 625.63		  3.95   	  -5.09		
 72.02   	-29.91   	 49.03   	 -30.52		 34.83   	 635.81		  3.93   	  -5.09		
 72.63   	-23.19   	 48.91   	 -30.52		 37.38   	 615.46		  3.91   	  -5.09		
 73.55   	-16.48   	 48.79   	 -30.52		 39.84   	 584.94		  3.89   	 -10.17		
 74.77   	 -9.46   	 48.67   	 -30.52		 42.18   	 534.08		  3.85   	  -5.09		
 75.99   	 -3.05   	 48.55   	 -35.61		 44.31   	 473.04		  3.83   	 -10.17		
 77.21   	  2.44   	 48.40   	 -30.52		 46.21   	 401.83		  3.78   	  -5.09		
 78.43   	  7.02   	 48.28   	 -40.69		 47.81   	 325.53		  3.76   	 -10.17		
 79.65   	 11.29   	 48.12   	 -35.61		 49.11   	 274.67		  3.72   	  -5.09		
 81.48   	 16.17   	 47.98   	 -35.61		 50.21   	 223.80		  3.70   	  -5.09		
 84.23   	 21.06   	 47.83   	 -40.69		 51.11   	 172.94		  3.68   	  -5.09		
 87.59   	 26.25   	 47.67   	 -40.69		 51.80   	 147.51		  3.66   	  -5.09		
 91.25   	 30.82   	 47.51   	 -40.69		 52.39   	 142.42		  3.64   	  -5.09		
 94.60   	 35.10   	 47.34   	 -40.69		 52.96   	 147.51		  3.62   	   0.00		
 97.96   	 39.06   	 47.18   	 -35.61		 53.55   	 198.37		  3.62   	 -10.17		
105.29   	 47.00   	 47.04   	 -35.61		 54.34   	 213.63		  3.58   	  -5.09		
108.95   	 49.74   	 46.90   	 -30.52		 55.20   	 223.80		  3.56   	   0.00		
112.00   	 51.27   	 46.77   	 -25.43		 56.09   	 223.80		  3.56   	   0.00		
114.44   	 52.49   	 46.67   	 -25.43		 56.99   	 223.80		  3.56   	  -5.09		
115.97   	 53.41   	 46.57   	 -15.26		 57.88   	 213.63		  3.54   	  -5.09		
116.88   	 54.32   	 46.51   	 -20.35		 58.74   	 178.03		  3.52   	   5.09		
117.49   	 55.85   	 46.43   	 -15.26		 59.45   	 157.68		  3.54   	   0.00		
118.71   	 57.07   	 46.37   	 -15.26		 60.08   	 137.33		  3.54   	   0.00		
119.93   	 57.68   	 46.31   	 -10.17		 60.63   	 111.90		  3.54   	   5.09		
121.46   	 58.29   	 46.27   	  -5.09		 61.08   	  96.64		  3.56   	   0.00		
122.38   	 59.20   	 46.25   	  -5.09		 61.46   	 101.73		  3.56   	   0.00		
122.68   	 60.42   	 46.23(D)	  10.17		 61.87   	 106.82		  3.56   	   0.00		
122.07   	 62.87   	 46.27   	  20.35		 62.30   	 106.82		  3.56   	  -5.09		
120.85   	 65.92   	 46.35   	  35.61		 62.73   	 116.99		  3.54   	  -5.09		
118.71   	 69.27   	 46.49   	  71.21		 63.19   	 137.33		  3.52   	 -15.26		
115.05   	 72.02   	 46.77   	 106.82		 63.74   	 147.51		  3.46   	 -15.26		
109.56   	 74.46   	 47.20   	 152.59		 64.33   	 152.59		  3.40   	 -15.26		
102.54   	 76.90   	 47.81   	 203.46		 64.94   	 157.68		  3.34   	 -20.35		
 93.69   	 79.96   	 48.63   	 244.15		 65.57   	 167.85		  3.26   	 -15.26		
 83.31   	 84.53   	 49.60   	 289.93		 66.25   	 157.68		  3.19   	 -20.35		
 72.63   	 89.11   	 50.76   	 315.36		 66.88   	 147.51		  3.11   	 -20.35		
 61.65   	 92.77   	 52.02   	 325.53		 67.47   	 152.59		  3.03   	 -20.35		
 51.57   	 94.60   	 53.33   	 325.53		 68.08   	 137.33		  2.95   	 -15.26		
 42.42   	 93.99   	 54.63   	 305.19		 68.63   	 111.90		  2.89   	 -10.17		
 34.79   	 90.64   	 55.85   	 274.67		 69.07   	  96.64		  2.85   	 -10.17		
 28.08   	 85.45   	 56.95   	 239.06		 69.46   	  71.21		  2.81   	 -10.17		
 22.28   	 78.43   	 57.90   	 193.29		 69.75   	  40.69		  2.77   	  -5.09		
 16.48   	 69.27   	 58.68   	 157.68		 69.91   	  10.17		  2.75   	   0.00		
 10.68   	 58.59   	 59.31   	 116.99		 69.95(S)	 -15.26		  2.75   	   0.00		
  4.88   	 46.39   	 59.78   	  96.64		 69.89   	 -30.52		  2.75   	   0.00		
 -0.31   	 32.96   	 60.16   	  81.38		 69.77   	 -61.04		  2.75   	  10.17		
 -5.19   	 19.53   	 60.49   	  81.38		 69.52   	 -91.56		  2.79   	   5.09		
 -9.16   	  7.63   	 60.81   	  96.64		 69.16   	-106.82		  2.81   	   5.09		
-12.51   	 -1.83   	 61.20   	 111.90		 68.73   	-132.25		  2.83   	  10.17		
-14.95   	 -8.54   	 61.65   	 142.42		 68.20   	-162.77		  2.87   	  10.17		
-16.78   	-12.51   	 62.22   	 167.85		 67.55   	-183.11		  2.91   	  10.17		
-18.31   	-15.26   	 62.89   	 198.37		 66.82   	-208.54		  2.95   	  10.17		
-19.53   	-17.70   	 63.68   	 213.63		 65.98   	-244.15		  2.99   	  10.17		
-20.75   	-20.14   	 64.54   	 233.98		 65.00   	-264.50		  3.03   	   5.09		
-21.67   	-22.58   	 65.47   	 233.98		 63.95   	-300.10		  3.05   	  10.17		
-22.28   	-25.33   	 66.41   	 228.89		 62.75   	-340.79		  3.09   	  10.17		
-22.89   	-27.77   	 67.32   	 208.54		 61.38   	-386.57		  3.13   	   5.09		
-23.50   	-29.91   	 68.16   	 183.11		 59.84   	-422.18		  3.15   	   5.09		
-23.80   	-30.52   	 68.89   	 157.68		 58.15   	-478.13		  3.17   	  10.17		
-23.50   	-30.21   	 69.52   	 127.16		 56.24   	-534.08		  3.21   	   5.09		
-22.28   	-27.77   	 70.03   	  96.64		 54.10   	-595.11		  3.23   	  10.17		
-20.75   	-23.80   	 70.42   	  61.04		 51.72   	-620.55		  3.28   	  10.17		
-19.53   	-18.31   	 70.66   	  40.69		 49.24   	-635.81		  3.32   	  15.26		
-18.62   	-11.29   	 70.82   	  20.35		 46.69   	-645.98		  3.38   	  10.17		
-18.31   	 -3.66   	 70.91   	   5.09		 44.11   	-630.72		  3.42   	  15.26		
-18.01   	  3.36   	 70.93(S)	   0.00		 41.59   	-605.29		  3.48   	  10.17		
-17.40   	  9.77   	 70.93   	   0.00		 39.17   	-564.60		  3.52   	  15.26		
-16.78   	 15.26   	 70.93   	  -5.09		 36.91   	-518.82		  3.58   	  15.26		
-16.17   	 20.14   	 70.91   	   0.00		 34.83   	-483.21		  3.64   	   5.09		
-15.56   	 25.63   	 70.91   	   0.00		 32.90   	-447.61		  3.66   	  10.17		
-14.95   	 32.65   	 70.91   	   0.00		 31.11   	-412.00		  3.70   	   5.09		
-14.65   	 45.17   	 70.91   	  -5.09		 29.46   	-391.66		  3.72   	   0.00		
-14.95   	 66.53   	 70.88   	 -20.35		 27.89   	-366.22		  3.72   	  -5.09		
-16.78   	 98.57   	 70.80   	 -30.52		 26.43   	-350.97		  3.70   	  -5.09		
-19.53   	138.55   	 70.68   	 -50.86		 25.03   	-345.88		  3.68   	   0.00		
-21.97   	178.53   	 70.48   	 -76.30		 23.64   	-366.22		  3.68   	  -5.09		
-23.19   	208.44   	 70.17   	 -91.56		 22.18   	-381.48		  3.66   	  -5.09		
-22.58   	225.22   	 69.81   	-116.99		 20.65   	-381.48		  3.64   	   0.00		
-21.06   	233.46   	 69.34   	-132.25		 19.13   	-381.48		  3.64   	   0.00		
-19.53   	243.23   	 68.81   	-147.51		 17.60   	-376.40		  3.64   	   5.09		
-19.23   	263.06   	 68.22   	-157.68		 16.09   	-371.31		  3.66   	   0.00		
-20.14   	292.66   	 67.59   	-188.20		 14.61   	-371.31		  3.66   	   5.09		
-18.92   	339.97   	 66.84   	-183.11		 13.12   	-340.79		  3.68   	  10.17		
-13.73   	336.30   	 66.10   	-172.94		 11.76   	-305.19		  3.72   	   0.00		
 -5.80   	309.45   	 65.41   	-162.77		 10.54   	-289.93		  3.72   	   5.09		
  2.75   	264.59   	 64.76   	-147.51		  9.38   	-249.24		  3.74   	   0.00		
  9.46   	210.27   	 64.17   	-132.25		  8.38   	-208.54		  3.74   	   0.00		
 13.43   	155.03   	 63.64   	-116.99		  7.55   	-188.20		  3.74   	   0.00		
 14.65   	102.84   	 63.17   	-101.73		  6.80   	-167.85		  3.74   	  -5.09		
 13.43   	 54.93   	 62.77   	 -86.47		  6.12   	-137.33		  3.72   	  -5.09		
  8.24   	 12.21   	 62.42   	 -81.38		  5.57   	-116.99		  3.70   	  -5.09		
 -1.22   	-23.80   	 62.10   	 -71.21		  5.11   	-101.73		  3.68   	  -5.09		
-12.82   	-50.96   	 61.81   	 -66.12		  4.70   	 -81.38		  3.66   	  -5.09		
-22.89   	-66.53   	 61.55   	 -66.12		  4.37   	 -76.30		  3.64   	   0.00		
-28.08   	-72.94   	 61.28   	 -76.30		  4.07   	 -66.12		  3.64   	   0.00		
-27.16   	-75.38   	 60.98   	 -81.38		  3.80   	 -50.86		  3.64   	   5.09		
-22.89   	-80.26   	 60.65   	 -81.38		  3.60   	 -35.61		  3.66   	   5.09		
-19.23   	-89.42   	 60.33   	 -96.64		  3.46   	 -25.43		  3.68   	  10.17		
-18.62   	-100.71   	 59.94   	-101.73		  3.36   	 -15.26		  3.72   	  15.26		
-20.45   	-110.78   	 59.53   	-101.73		  3.30   	   0.00		  3.78   	  15.26		
-22.89   	-115.97   	 59.12   	-106.82		  3.30   	  10.17		  3.85   	  15.26		
-24.41   	-116.88   	 58.70   	-101.73		  3.34   	   0.00		  3.91   	  20.35		
-24.11   	-115.97   	 58.29   	-101.73		  3.34   	   5.09		  3.99   	  25.43		
-23.50   	-116.58   	 57.88   	 -96.64		  3.36   	  10.17		  4.09   	  25.43		
-25.02   	-122.07   	 57.50   	 -86.47		  3.40   	   0.00		  4.19   	  25.43		
-29.91   	-133.36   	 57.15   	 -81.38		  3.40   	 -15.26		  4.29   	  25.43		
-35.40   	-148.62   	 56.83   	 -81.38		  3.34   	 -55.95		  4.39   	  25.43		
-14.04   	-155.64   	 56.50   	 -71.21		  3.11   	 -61.04		  4.50   	  25.43		
 26.55   	-122.38   	 56.22   	 -71.21		  2.87   	 -81.38		  4.60   	  20.35		
 82.70   	-56.46   	 55.93   	 -66.12		  2.54   	-101.73		  4.68   	  15.26		
127.56   	 29.91   	 55.67   	 -66.12		  2.14   	-106.82		  4.74   	  15.26		
122.99   	106.81   	 55.40   	 -66.12		  1.71   	 -91.56		  4.80   	  10.17		
 42.11   	143.13   	 55.14   	 -61.04		  1.34   	 -61.04		  4.84(A)	   0.00		
-115.05   	125.73   	 54.89   	 -66.12		  1.10   	 -25.43		  4.84   	 -10.17		
-316.77   	 60.12   	 54.63   	 -66.12		  1.00(D)	  35.61		  4.80   	  -5.09		
-511.17   	-38.45   	 54.36   	 -66.12		  1.14   	  91.56		  4.78   	 -15.26		
-650.63   	-159.00   	 54.10   	 -66.12		  1.51   	 142.42		  4.72   	 -20.35		
-716.55   	-295.41   	 53.83   	 -66.12		  2.08   	 172.94		  4.64   	 -25.43		
-714.11   	-433.35   	 53.57   	 -61.04		  2.77   	 208.54		  4.54   	 -20.35		
-656.74   	-544.13   	 53.33   	 -61.04		  3.60   	 223.80		  4.46   	 -25.43		
-558.47   	-595.40(R)	 53.08   	 -55.95		  4.50   	 193.29		  4.35   	 -30.52		
-429.08   	-571.90   	 52.86   	 -55.95		  5.27   	 152.59		  4.23   	 -30.52		
-280.76   	-485.84   	 52.63   	 -50.86		  5.88   	 116.99		  4.11   	 -25.43		
-136.41   	-366.82   	 52.43   	 -50.86		  6.35   	  76.30		  4.01   	 -30.52		
-24.11   	-246.28   	 52.23   	 -40.69		  6.65   	  30.52		  3.89   	 -35.61		
 38.15   	-150.15   	 52.06   	 -50.86		  6.78   	 -10.17		  3.74   	 -30.52		
 52.49   	-95.52   	 51.86   	 -45.78		  6.73   	 -25.43		  3.62   	 -35.61		
 39.37   	-87.28   	 51.68   	 -45.78		  6.63   	 -25.43		  3.48   	 -35.61		
 24.41   	-110.47   	 51.50   	 -45.78		  6.53   	 -20.35		  3.34   	 -30.52		
 21.67   	-139.16   	 51.31   	 -45.78		  6.45   	  50.86		  3.21   	 -30.52		
 31.43   	-151.67   	 51.13   	 -45.78		  6.65   	 183.11		  3.09   	 -25.43		
 44.25   	-144.65   	 50.95   	 -50.86		  7.39   	 447.61		  2.99   	 -30.52		
 51.57   	-123.60   	 50.74   	 -50.86		  9.18   	 488.30		  2.87   	 -25.43		
 49.44   	-127.26   	 50.54   	 -45.78		 11.13   	 498.47		  2.77   	 -25.43		
 48.22   	-134.58   	 50.36   	 -40.69		 13.12   	 473.04		  2.67   	 -20.35		
 49.74   	-138.55   	 50.19   	 -45.78		 15.02   	 391.66		  2.58   	 -10.17		
 52.80   	-138.85   	 50.01   	 -40.69		 16.58   	 350.97		  2.54   	  -5.09		
 55.85   	-137.94   	 49.85   	 -35.61		 17.99   	 340.79		  2.52   	   0.00		
 58.29   	-138.24   	 49.70   	 -35.61		 19.35   	 350.97		  2.52   	  -5.09		
 60.12   	-140.08   	 49.56   	 -35.61		 20.75   	 401.83		  2.50   	   5.09		
 61.65   	-142.21   	 49.42   	 -35.61		 22.36   	 467.95		  2.52   	  10.17		
 63.17   	-143.74   	 49.28   	 -35.61		 24.23   	 528.99		  2.56   	   0.00		
 65.00   	-144.04   	 49.14   	 -35.61		 26.35   	 595.11		  2.56   	   0.00		
 66.83   	-142.52   	 48.99   	 -35.61		 28.73   	 645.98		  2.56   	   0.00		
 68.66   	-139.77   	 48.85   	 -35.61		 31.31   	 656.15		  2.56   	   0.00		
 70.50   	-137.33   	 48.71   	 -35.61		 33.94   	 656.15		  2.56   	   0.00		
 72.63   	-134.58   	 48.57   	 -35.61		 36.56   	 615.46		  2.56   	  -5.09		
 74.46   	-131.53   	 48.42   	 -30.52		 39.02   	 564.60		  2.54   	   0.00		
 76.29   	-127.26   	 48.30   	 -35.61		 41.28   	 503.56		  2.54   	   5.09		
 78.43   	-121.77   	 48.16   	 -35.61		 43.30   	 432.35		  2.56   	   0.00		
 80.87   	-115.36   	 48.02   	 -35.61		 45.03   	 361.14		  2.56   	   5.09		
 83.92   	-109.56   	 47.87   	 -35.61		 46.47   	 295.01		  2.58   	   0.00		
 87.28   	-104.68   	 47.73   	 -35.61		 47.65   	 233.98		  2.58   	   0.00		
 90.33   	-101.32   	 47.59   	 -35.61		 48.59   	 183.11		  2.58   	   0.00		
 93.08   	-98.88   	 47.45   	 -40.69		 49.32   	 162.77		  2.58   	   0.00		
 96.13   	-97.66   	 47.28   	 -40.69		 49.97   	 142.42		  2.58   	   0.00		
 99.49   	-97.35   	 47.12   	 -40.69		 50.54   	 172.94		  2.58   	  -5.09		
106.81   	-94.91   	 46.96   	 -40.69		 51.23   	 188.20		  2.56   	 -10.17		
109.86   	-92.47   	 46.80   	 -40.69		 51.98   	 208.54		  2.52   	 -10.17		
112.92   	-88.81   	 46.63   	 -40.69		 52.82   	 223.80		  2.48   	 -10.17		
115.66   	-84.53   	 46.47   	 -35.61		 53.71   	 228.89		  2.44   	 -20.35		
118.41   	-80.57   	 46.33   	 -30.52		 54.63   	 213.63		  2.36   	 -15.26		
121.15   	-77.21   	 46.21   	 -25.43		 55.48   	 208.54		  2.30   	 -10.17		
123.60   	-75.07   	 46.10   	 -25.43		 56.32   	 188.20		  2.26   	 -15.26		
125.73   	-73.24   	 46.00   	 -20.35		 57.07   	 167.85		  2.20   	 -15.26		
127.87   	-72.33   	 45.92   	 -15.26		 57.74   	 147.51		  2.14   	 -15.26		
129.09   	-71.72   	 45.86   	 -15.26		 58.33   	 116.99		  2.08   	 -10.17		
129.70   	-72.02   	 45.80   	 -10.17		 58.80   	 106.82		  2.03   	 -10.17		
130.31   	-73.24   	 45.76   	 -10.17		 59.23   	  91.56		  1.99   	 -10.17		
131.53   	-74.77   	 45.72(D)	   0.00		 59.59   	  86.47		  1.95   	 -10.17		
132.75   	-76.29   	 45.72   	  10.17		 59.94   	  86.47		  1.91   	 -10.17		
133.36   	-77.82   	 45.76   	  20.35		 60.28   	 101.73		  1.87   	 -10.17		
132.14   	-78.13   	 45.84   	  40.69		 60.69   	 111.90		  1.83   	 -15.26		
128.78   	-76.60   	 46.00   	  66.12		 61.14   	 127.16		  1.77   	 -10.17		
123.60   	-73.55   	 46.27   	 106.82		 61.65   	 147.51		  1.73   	 -10.17		
116.88   	-68.66   	 46.69   	 152.59		 62.24   	 157.68		  1.69   	 -10.17		
108.95   	-63.17   	 47.30   	 198.37		 62.87   	 147.51		  1.65   	 -10.17		
 99.79   	-58.29   	 48.10   	 239.06		 63.46   	 147.51		  1.61   	 -10.17		
 89.42   	-54.32   	 49.05   	 279.75		 64.05   	 152.59		  1.57   	  -5.09		
